window_id,bet_ip,n_member_raw,n_member_eff,n_prof_A,n_prof_B,n_prof_C,n_orders,n_rounds,stake,net_pnl,game_pnl,share_p50,share_p90,rn
W1,49.229.175.66,5,5,2,1,1,314,140,9732.9833614217,-714.1715591551,-777.0173770352,0.017586199566721916,1.0,7589
W1,49.229.176.175,8,5,1,3,3,834,429,20206.3219898092,697.1669314123,697.1669314123,0.008385700173676014,0.9199999570846558,7590
W1,49.229.179.221,7,5,0,1,1,260,158,5329.6093211637,402.7118731583,399.7105077561,0.013783900067210197,0.08274397253990173,7591
W1,49.229.180.132,13,5,1,2,2,569,446,5135.6859238203,255.3903704213,255.2268581783,0.017616000026464462,1.0,7592
W1,49.229.183.3,5,5,0,1,1,239,107,8491.0675812297,-380.3693638520,-380.3693638520,0.06152239814400673,1.0,7593
W1,49.229.184.219,6,5,0,2,2,321,183,22369.1782349212,3210.7397349203,3210.7397349203,0.01840994879603386,0.9069682955741882,7594
W1,49.229.210.219,7,5,0,2,2,609,237,17618.5375742595,-623.8861669519,-623.8861669519,0.04287249967455864,0.16254110634326935,7595
W1,49.229.215.100,6,5,0,2,2,446,362,34796.0171733549,-566.8142795047,-566.8142795047,0.006847850047051907,0.06271254271268845,7596
W1,49.229.218.133,6,5,2,1,1,343,159,10382.6104321848,-597.8389737459,-597.8389737459,0.010575750842690468,0.029974546283483505,7597
W1,49.229.224.125,9,5,0,3,3,306,185,5436.5076137229,148.0538501971,123.3528704859,0.018797000870108604,0.6999995708465576,7598
W1,49.229.224.156,8,5,2,3,3,631,530,14207.7043861486,-2960.6441022885,-2960.6441022885,0.015205799601972103,1.0,7599
W1,49.229.225.213,9,5,1,1,1,552,377,11475.1344209121,492.7413967959,492.4422878910,0.1096998006105423,0.919999897480011,7600
W1,49.229.227.132,8,5,2,4,4,467,408,81592.4115746645,-3382.1742289247,-3523.7063386423,0.02878829836845398,1.0,7601
W1,49.229.228.102,10,5,0,2,2,2087,699,9776.9613580907,186.1340788920,186.1340788920,0.043785300105810165,0.7573529481887817,7602
W1,49.229.228.167,8,5,2,1,1,1222,934,162732.4846330171,-4246.6047395842,-4246.6047395842,0.05781380087137222,0.6457141041755676,7603
W1,49.229.228.173,9,5,3,4,4,230,200,18399.9309902023,700.8724233612,700.8724233612,0.005899699870496988,0.4582063555717468,7604
W1,49.229.228.178,11,5,0,2,2,428,315,19753.6857841237,-1431.3707206179,-1431.3707206179,0.01600000075995922,0.43839964270591736,7605
W1,49.229.228.200,11,5,1,1,1,490,445,46873.0857273627,-2538.6228580312,-2554.9462852479,0.060948099941015244,1.0,7606
W1,49.229.228.229,11,5,1,2,2,296,211,7676.7833475833,139.2033180693,122.6524856787,0.011494300328195095,0.10211238265037537,7607
W1,49.229.228.60,9,5,1,3,3,1112,524,16483.2921268534,-478.6573303240,-484.7318087110,0.024668799713253975,0.7793100476264954,7608
W1,49.229.228.77,12,5,1,2,2,1089,415,32189.8931172046,427.7421122533,405.8113889147,0.020043950527906418,1.0,7609
W1,49.229.228.87,7,5,1,2,2,286,245,4445.0638459660,-315.3249628352,-315.3249628352,0.013557299971580505,0.3270728886127472,7610
W1,49.229.229.106,10,5,1,0,0,406,201,263641.7860677741,-11467.1964673108,-11476.7895828469,0.014605550095438957,0.5511083602905273,7611
W1,49.229.229.116,11,5,1,2,2,1532,752,63537.1957516137,-1488.9568416154,-1570.3988699558,0.013555100187659264,0.13347530364990234,7612
W1,49.229.229.121,14,5,2,4,4,396,324,25154.6666861017,1665.8699506515,1664.7981437427,0.013643700629472733,1.0,7613
W1,49.229.229.124,10,5,1,0,0,370,349,6753.5661931375,-1262.9323472201,-1262.9323472201,0.021140050143003464,0.17092840373516083,7614
W1,49.229.229.186,15,5,3,2,2,619,431,13581.9048407707,-358.9951579472,-367.3936902781,0.0055494001135230064,0.10361450165510178,7615
W1,49.229.229.187,11,5,0,3,3,476,333,24820.1123792566,816.2977189158,816.2977189158,0.04589629918336868,0.1747686266899109,7616
W1,49.229.229.240,14,5,1,2,2,447,402,7046.4009803375,-573.8864300576,-573.8864300576,0.05188409984111786,1.0,7617
W1,49.229.229.25,10,5,2,2,2,3345,1001,31854.3401237013,-961.2408699222,-961.2408699222,0.022145800292491913,0.623383641242981,7618
W1,49.229.229.254,10,5,0,2,2,786,384,10642.0958200594,551.9056948418,551.9056948418,0.013130450621247292,0.07456979900598526,7619
W1,49.229.229.255,12,5,2,2,2,293,177,41030.4646106177,10722.0132505717,10718.8146414581,0.0076051498763263226,1.0,7620
W1,49.229.229.82,14,5,0,1,1,670,539,67046.1802408186,654.4771068080,631.8397782772,0.0051079001277685165,0.09113141894340515,7621
W1,49.229.229.89,9,5,0,1,1,602,561,10433.6743069687,897.3256622677,897.3256622677,0.013659600168466568,0.6370726227760315,7622
W1,49.229.230.110,15,5,1,1,1,570,502,75220.6980504913,1070.8767710766,599.9238604600,0.01694919914007187,0.25287359952926636,7623
W1,49.229.230.113,10,5,0,1,1,466,300,11864.7501976203,-654.2528019701,-655.1617606972,0.011558099649846554,0.6132930517196655,7624
W1,49.229.230.116,6,5,1,1,1,674,481,9180.8281009270,-617.5796455833,-618.4787108078,0.023985300213098526,0.13596899807453156,7625
W1,49.229.230.117,9,5,0,2,2,2377,773,26446.0865672290,395.1639115973,331.3218781973,0.012972099706530571,0.617459774017334,7626
