dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率,対打注额,種子注额,対打客数,对打局占比,异常对关联,風險單密度,赏,罚,综合分
2189,3525171.496942863,5213,1494,5,-67629.4290352843,1494,0.0576600972869438,0.1084337,9554.0443334808,0.0,4.0,0.002710235329477264,0.0007673124880107424,0.0,29.347826086956523,29.974916387959865,-0.6270903010033422
1210,100589510.32042664,65587,26378,4,-1482943.8537304683,26378,0.1326824009851055,0.1714307,6298770.914762051,1041625.9161566116,160.0,0.06261856623714931,0.0024395078292954397,0.010355214105710676,81.438127090301,82.19063545150502,-0.752508361204022
759,1563420.1813227923,2857,888,3,-36500.3678783398,888,0.1354097503061279,0.2961712,0.0,0.0,0.0,0.0,0.0,0.0,30.267558528428093,31.312709030100336,-1.0451505016722429
2244,27534330.597809862,25689,13868,5,-890492.9225856984,13868,0.0622750198741319,0.0641044,626379.4506908768,152136.8422274102,41.0,0.022749035007980194,0.0015960138580715481,0.005525351040838867,40.38461538461539,41.47157190635451,-1.0869565217391255
2254,41797584.7326213,36965,20512,5,509062.1311880019,20512,0.0749354326478835,0.0607937,1389851.7788302146,313792.83852350886,72.0,0.033251963904639026,0.0019477884485323955,0.0075074394975412646,46.82274247491639,47.909698996655514,-1.0869565217391255
1291,13658309.352481624,13946,6643,7,-50891.1820136199,6643,0.1377615472385124,0.1396959,306016.6280273273,109568.4095890425,29.0,0.022405161585516885,0.00207944930446006,0.008022106306234355,59.280936454849495,60.451505016722415,-1.1705685618729191
1256,339196.2084212625,669,246,1,-9898.4479753844,246,0.1577368751599747,0.2682927,0.0,0.0,0.0,0.0,0.0,0.0,29.431438127090303,30.6438127090301,-1.2123745819397982
2239,52546087.10280775,40867,25938,6,-1372633.2597075612,25938,0.0714916921623132,0.0593723,1899535.5849918271,484639.9924920742,76.0,0.03614989601938081,0.0018596911933834144,0.00922314142143189,51.50501672240803,52.759197324414714,-1.2541806020066844
1949,8758731.073179375,10515,4639,6,-284923.9342653139,4639,0.0737377345935273,0.0691959,179720.2443902862,72127.2192471443,11.0,0.020518981903739245,0.0010461245839277222,0.008234893690024265,41.80602006688964,43.06020066889632,-1.2541806020066844
2241,52487025.64146231,40514,26725,5,-1473315.1665182277,26725,0.0681698058215619,0.0546679,1910452.0965910535,460294.7522302705,77.0,0.03639855894371513,0.0019005775781211433,0.008769686348289833,50.16722408026755,51.50501672240803,-1.337792642140478
2213,2589335.7803804064,3838,1687,6,-114346.0291924517,1687,0.1261880348324057,0.2299941,309.813337464,0.0,2.0,0.00011964973404047446,0.0005211047420531526,0.0,35.702341137123746,37.33277591973244,-1.6304347826086953
1991,6757826.696596806,9847,3390,6,-395939.7186214382,3390,0.071032387060941,0.0923304,90452.0578238846,46851.2357341499,10.0,0.013384785062546162,0.0010155377272265665,0.006932885058704428,39.79933110367893,41.55518394648829,-1.755852842809361
1087,2224472.2113944795,4410,1286,4,-16119.6929481057,1286,0.1367399380337472,0.1990669,20113.8555586775,0.0,4.0,0.009042079939523499,0.0009070294784580499,0.0,42.39130434782609,44.27257525083613,-1.8812709030100336
2262,3821964.254210428,5565,1824,5,-176421.4178408014,1824,0.0747673031316882,0.1474781,15609.1777549711,282.9639816708,2.0,0.004084072146351293,0.00035938903863432165,7.403627110302658e-05,36.7056856187291,38.628762541806026,-1.923076923076927
994,88768217.2213424,60785,20618,4,-1212635.569422662,20618,0.1327183778084563,0.130905,3041362.509146645,1136944.7493205457,164.0,0.03426184060408746,0.002698034054454224,0.012808016032197523,74.33110367892976,76.33779264214047,-2.0066889632107063
