uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
148296763,2169,103385.0000000000,-21077.5000000000,-21077.5000000000,0.4444444,183,183,0.502015132787,-1.4655223708035556,-20359.3500000000,-20359.3500000000,1662913.0000000000,0.5047301,0.5075758
151518065,1396,39805.6344754284,-11771.9478147112,-11771.9478147112,0.3888889,66,62,0.488583490323,-1.465587511208671,-57753.1100950835,-57753.1100950835,1348893.8195835731,0.5047733,0.5086313
136220685,2141,2987.7528359886,17.8678563710,17.8678563710,0.4000000,58,55,0.503630929091,-1.4656012984652282,-7998.4802120901,-7998.4802120901,124462.4885885035,0.4870624,0.4905063
132483765,2155,1922.2160781537,-135.6083945548,-135.6083945548,0.4000000,62,62,0.498813303226,-1.4656422677641858,4329.8563012343,4329.8563012343,119500.9422059459,0.4968153,0.4979991
46714825,2175,17040.4885687751,-1624.2943625576,-1501.4791177204,0.4504505,250,250,0.499634748000,-1.4656594480736282,-3983.3061648833,-9279.4835407521,739545.4152555941,0.5016234,0.5032078
152818404,1645,5556.0000000000,-1559.0000000000,-1559.0000000000,0.3611111,42,40,0.483182775000,-1.4656892509731942,-2347.5000000000,-2347.5000000000,963941.0000000000,0.4952129,0.4960146
148370408,2106,485.9677859415,-64.2839327996,-64.2839327996,0.4430380,170,170,0.501339837059,-1.4656913552044664,-1202.7184184913,-1202.7184184913,306249.7971766021,0.4987123,0.4988734
141097788,1306,4184.1504645837,-1690.1162941330,-1690.1162941330,0.3111111,89,47,0.418912414894,-1.4657093428455261,-19735.4354837246,-19735.4354837246,400193.7981618343,0.4045143,0.4055926
107312460,2127,28397.4890190479,-4479.5425236009,-4479.5425236009,0.4285714,103,103,0.502601519417,-1.4657408590842758,5498.6956305646,5498.6956305646,6111146.8499403411,0.5070887,0.5073784
80385852,1940,3808.9311965478,-185.9245694380,-185.9245694380,0.4717262,741,736,0.499997668342,-1.4657609376886478,-7296.2578061732,-7296.2578061732,419767.8534298633,0.4968946,0.4971144
151005661,1004,5454.0000000000,-444.7500000000,-444.7500000000,0.4658385,357,357,0.506678200000,-1.4658148484938198,-6321.8000000000,-6321.8000000000,324458.0000000000,0.5023506,0.5030927
151000346,1302,361.0461079539,-99.5448350348,-99.5448350348,0.3666667,35,35,0.500486154286,-1.4659197329865075,-111.4382698595,-111.4382698595,1515.9307737816,0.4484848,0.4666667
143198710,1702,725.3136803945,-174.6193863517,-174.6193863517,0.3666667,35,35,0.500486154286,-1.4659197329865075,-888.0996055479,-888.0996055479,102583.4365151526,0.5023797,0.5034648
140907519,1509,1324.6538634760,-185.0935578408,-185.0935578408,0.3666667,36,35,0.500486154286,-1.4659197329865075,-4672.0496735555,-4672.0496735555,205608.6972557214,0.4956914,0.4964905
85109801,2241,1038.4861028146,-316.3175251486,-316.3175251486,0.3666667,35,35,0.500486154286,-1.4659197329865075,1121.1289645548,1121.1289645548,301924.0673311408,0.5072145,0.5077963
147417244,2093,2430.9623549269,-920.8782745591,-920.8782745591,0.3666667,35,35,0.500486154286,-1.4659197329865075,23.0474600373,23.0474600373,184302.8711988331,0.5108787,0.5127119
