member_id,罕见度,相似度,是否种子,T4新命中
88732973,0.5054683163441779,1.0,0,0
116085580,0.5847360773825804,1.0,1,0
115358390,0.42063659080196997,1.0,0,0
150173098,0.4296841198578346,1.0,0,0
131405972,0.45223777183792874,1.0,1,0
104351962,0.5851952951076913,1.0,1,0
143597673,0.41674699756572253,1.0,1,0
146420863,0.6197667004914734,1.0,1,0
146439814,0.45553507133253013,1.0,0,0
118620905,0.6107482471516006,1.0,1,0
117683757,0.47970828300375523,1.0,1,0
147579895,0.3915087682743624,1.0,1,0
126476279,0.4522985442358833,1.0,0,0
69838693,0.46012897371272526,1.0,0,0
144361132,0.4610150360085734,1.0,1,0
153677506,0.44771514263094947,1.0,1,0
124913301,0.4477244784469831,1.0,0,0
148375300,0.4147110000144631,1.0,0,0
114746476,0.4921814575070198,1.0,1,0
150361277,0.3750140592353855,1.0,1,0
131877139,0.44367496661168687,1.0,1,0
142024935,0.5906937890677384,1.0,1,0
136934790,0.45824538468423476,1.0,0,0
51377692,0.4430299592247656,1.0,0,0
151254619,0.44740330546573487,1.0,1,0
78490442,0.4625107002321361,1.0,0,0
147341252,0.48698454303083466,1.0,1,0
147288700,0.4114102033145149,1.0,0,0
107241179,0.4497922842552948,1.0,0,0
114882349,0.4979316034261046,1.0,1,0
134557633,0.5674282243645963,1.0,1,0
15895125,0.4500400788121943,1.0,1,0
140241896,0.44013569724432255,1.0,1,0
150709081,0.4712037179083672,1.0,0,0
129691984,0.451798275207166,1.0,1,0
81811234,0.50178067059727,1.0,1,0
21740865,0.4832585327261265,1.0,0,0
114275757,0.4806343359159643,1.0,1,0
143742584,0.4305166171854393,1.0,0,0
104585290,0.4926284215140585,1.0,1,0
121242630,0.48218518091296086,1.0,1,0
137153038,0.47694135645569957,1.0,1,0
91621035,0.40481532106025153,1.0,0,0
153595621,0.38114879747541314,1.0,0,0
146804998,0.676952248550849,1.0,1,0
139480759,0.45768999139543765,1.0,1,0
146583568,0.47518825774838075,1.0,1,0
99286789,0.44281516982393093,1.0,1,0
140433575,0.41365747324216634,1.0,0,0
151976088,0.6542463680518055,1.0,1,0
80499351,0.5376203438107232,1.0,1,0
147064559,0.4473119222278554,1.0,1,0
131173451,0.43743108692384736,1.0,1,0
150002573,0.3957759393396585,1.0,0,0
142009571,0.5402375579193356,1.0,1,0
140282788,0.4912477867361797,1.0,1,0
146878915,0.4980165394662268,1.0,1,0
145804441,0.5029921689154131,1.0,0,0
152766007,0.435539357546158,1.0,1,0
142812892,0.446587148265432,1.0,1,0
135470501,0.46217020250256446,1.0,1,0
80385852,0.7344955138302195,1.0,1,0
134991900,0.4610296805685149,1.0,0,0
122640657,0.6024247752072885,1.0,1,0
115005872,0.4636637553216243,1.0,1,0
147901898,0.44859580632876783,1.0,1,0
133966185,0.44123397897308697,1.0,1,0
148465962,0.47149032801200796,1.0,0,0
88045275,0.42081752289594837,1.0,0,0
153724494,0.45414087183817914,1.0,1,0
146701946,0.4878157232345993,1.0,1,0
131064705,0.5070545041954859,1.0,1,0
133339406,0.5968898558242123,1.0,1,0
147664410,0.4153958182974171,1.0,1,0
150645857,0.3941566163864038,1.0,0,0
148729820,0.6806661335298785,1.0,1,0
134445743,0.4040740891427508,1.0,0,0
111669621,0.43999248397926904,1.0,0,0
148798931,0.6809618467829813,1.0,1,0
151885236,0.4947770965075542,1.0,1,0
65080655,0.5406858625155084,1.0,1,0
66564183,0.4684728448625266,1.0,1,0
148351021,0.4535187964596358,1.0,0,0
149043684,0.4264420020854953,1.0,0,0
135742076,0.5411696693919521,1.0,1,0
142838156,0.44960140883687794,1.0,0,0
121732938,0.7600968550716494,1.0,1,0
12702551,0.3938078744802144,1.0,0,0
149646342,0.39058525335116867,1.0,0,0
146882725,0.41218833628744517,1.0,1,0
134211989,0.4765158177279622,1.0,1,0
7479184,0.40634574689126385,1.0,0,0
142010081,0.4254064812066662,1.0,0,0
143334111,0.4080018496848493,1.0,1,0
145830857,0.571886854261488,1.0,1,0
115916338,0.44108288369149573,1.0,1,0
142044206,0.5485796457303678,1.0,1,0
153294150,0.4424964375588177,1.0,1,0
150577759,0.4246403570375027,1.0,1,0
131529212,0.5392002153264797,1.0,1,0
150119903,0.3870801430001301,1.0,1,0
142242619,0.45849394258201853,1.0,1,0
144048718,0.4259559170766563,1.0,1,0
74595473,0.46451907948985866,1.0,0,0
149635098,0.37182616552160686,1.0,0,0
95397549,0.3870763645886504,1.0,1,0
142816705,0.5115944677336417,1.0,1,0
148451665,0.40073680294098035,1.0,0,0
144030339,0.3651840494422821,1.0,0,0
114256216,0.4404417480683763,1.0,1,0
150447520,0.39556753160307,1.0,1,0
18650166,0.4401249874585333,1.0,0,0
142636813,0.47650346823740003,1.0,0,0
138855001,0.4575682855127492,1.0,1,0
122678865,0.4300201876492491,1.0,0,0
131050220,0.38194206704818395,1.0,0,0
147001485,0.5237331522786757,1.0,1,0
73533145,0.40994712883144147,1.0,1,0
102241884,0.4779254649542574,1.0,0,0
152320266,0.42742805785090865,1.0,1,0
144813283,0.4599459473502246,1.0,1,0
148311617,0.43305051674049994,1.0,0,0
137536752,0.416039972006566,1.0,1,0
144887581,0.4420906391002074,1.0,1,0
123637657,0.40936535815647673,1.0,0,0
102784891,0.43035347209352415,1.0,1,0
100297360,0.42370647785754534,1.0,0,0
153268076,0.37453711437619397,1.0,0,0
148232933,0.4145020413324196,1.0,0,0
147708453,0.4168512761279754,1.0,1,0
107653413,0.3998464967149127,1.0,0,0
78697939,0.4428523264517377,1.0,0,0
149873636,0.42550072185313564,1.0,0,0
147063533,0.4582490314364852,1.0,0,0
140380546,0.4296259067776704,1.0,1,0
147203341,0.4945702955762407,1.0,1,0
36536866,0.4189280180407841,1.0,1,0
150878118,0.42247057855803777,1.0,0,0
125310193,0.5979434015807986,1.0,1,0
149311253,0.39506840975151447,1.0,0,0
98084943,0.4209426565808441,1.0,1,0
129679631,0.4152403501987677,1.0,1,0
151005661,0.514432425196725,1.0,1,0
123363956,0.44437256188027635,1.0,1,0
150846144,0.408730541464025,1.0,0,0
142262342,0.5424756874795036,1.0,1,0
147440159,0.42532971270866077,1.0,0,0
123770092,0.43584850890961235,1.0,1,0
122051505,0.43967024017467804,1.0,0,0
152352973,0.5155789186449875,1.0,1,0
148250538,0.3969749240262307,1.0,1,0
64645130,0.3750873927773528,1.0,0,0
107595874,0.44334485994183,1.0,0,0
128513454,0.40155441230454364,1.0,0,0
148728588,0.3715922217550231,1.0,0,0
15956113,0.4380058217495331,1.0,1,0
115595375,0.43065349739491615,1.0,0,0
151288315,0.4382943633900168,1.0,1,0
33624869,0.4670506400651912,1.0,1,0
131378925,0.42731179575576383,1.0,0,0
149057281,0.4810941787359837,1.0,0,0
142971242,0.4602021415333937,1.0,1,0
143716483,0.41216993422700837,1.0,1,0
145595740,0.43736591940700115,1.0,1,0
143955715,0.40023738557251365,1.0,0,0
147763477,0.4223132094990617,1.0,0,0
148370408,0.6776831531619834,1.0,1,0
