member_id,bet_month,zero_kind,vb_sum_state,n_orders,n_rounds_month,n_days_month,n_tables_month,n_vb_null,n_vb_blank,n_vb_true_zero,n_vb_positive,vb_null_share,sum_valid_bet,sum_stake,sum_game_pnl,sum_rebate,n_order_nocomm,n_hedge_rounds,n_hedge_eq,n_zero_pnl_rounds,hedge_eq_share,verdict_hint
149188422,2026-04-01,游戏输赢为零,有值,9,9,1,1,0,0,0,9,0E-7,42.1647376300,42.1647376300,0E-10,0E-10,9,0,0,0,0E-7,两者皆低·判UNKNOWN
149188708,2026-04-01,游戏输赢为零,有值,2,2,1,2,0,0,0,2,0E-7,4.2164737630,4.2164737630,0E-10,0.0337317902,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149189282,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,78.5278643039,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149189969,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,5.2351909536,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149190745,2026-04-01,游戏输赢为零,有值,2,2,2,2,0,0,0,2,0E-7,4.2164737630,4.2164737630,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149191690,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,2.1082368815,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149192427,2026-04-01,游戏输赢为零,有值,4,4,1,1,0,0,0,4,0E-7,10.4703819072,10.4703819072,0E-10,0E-10,4,0,0,0,0E-7,两者皆低·判UNKNOWN
149193281,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,20.2979742622,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149195105,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,17.0143705992,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149196275,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,8.4329475260,8.4329475260,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149197510,2026-04-01,游戏输赢为零,有值,3,3,1,1,0,0,1,2,0E-7,523.5190953590,785.2786430385,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
149198709,2026-04-01,游戏输赢为零,有值,2,2,1,2,0,0,0,2,0E-7,42.1647376300,42.1647376300,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149198723,2026-04-01,游戏输赢为零,有值,2,2,1,2,0,0,0,2,0E-7,52.3519095360,52.3519095360,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149199560,2026-04-01,游戏输赢为零,有值,2,2,1,1,0,0,0,2,0E-7,210.8236881496,210.8236881496,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149199667,2026-06-01,洗码与输赢皆为零,有值,2,2,1,2,0,0,2,0,0E-7,0E-10,2000.0000000000,0E-10,0E-10,0,0,0,2,0E-7,两者皆低·判UNKNOWN
149200163,2026-04-01,游戏输赢为零,有值,2,2,2,2,0,0,0,2,0E-7,26.1759547680,26.1759547680,0E-10,0E-10,0,0,0,0,0E-7,两者皆低·判UNKNOWN
149200280,2026-04-01,洗码与输赢皆为零,有值,1,1,1,1,0,0,1,0,0E-7,0E-10,5.2351909536,0E-10,0E-10,0,0,0,1,0E-7,两者皆低·判UNKNOWN
