dt,table_id,shoe_id,max_round,min_round,rounds_with_bet,gap,n_bettors,n_bets,anomaly_type,hi_cut_used,audit_rn,batch_id
2026-06-17,911,1265179,3,1,3,0,4,7,残靴：截断／换荷官／开收台可疑,87.0,200,1
2026-06-19,6,114682255,3,1,3,0,9,16,残靴：截断／换荷官／开收台可疑,87.0,201,1
2026-06-20,912,1267578,3,1,3,0,6,9,残靴：截断／换荷官／开收台可疑,87.0,202,1
2026-06-25,3,114688852,3,1,3,0,7,9,残靴：截断／换荷官／开收台可疑,87.0,203,1
2026-06-25,912,1271625,3,1,3,0,5,7,残靴：截断／换荷官／开收台可疑,87.0,204,1
2026-06-26,901,1272488,3,1,3,0,3,6,残靴：截断／换荷官／开收台可疑,87.0,205,1
2026-06-27,901,1273382,3,1,3,0,9,15,残靴：截断／换荷官／开收台可疑,87.0,206,1
2026-06-29,36,114693277,3,2,2,1,8,14,残靴：截断／换荷官／开收台可疑,87.0,207,1
2026-06-29,911,1275065,3,1,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0,208,1
2026-06-30,6,114694399,3,1,3,0,10,18,残靴：截断／换荷官／开收台可疑,87.0,209,1
2026-07-01,115,114695556,3,1,3,0,18,28,残靴：截断／换荷官／开收台可疑,87.0,210,1
2026-07-02,8,114696755,3,1,3,0,12,17,残靴：截断／换荷官／开收台可疑,87.0,211,1
2026-07-06,115,114701381,3,1,3,0,14,26,残靴：截断／换荷官／开收台可疑,87.0,212,1
2026-07-08,2,114703654,3,1,3,0,8,17,残靴：截断／换荷官／开收台可疑,87.0,213,1
2026-07-13,6,114709043,3,1,3,0,9,13,残靴：截断／换荷官／开收台可疑,87.0,214,1
2026-07-15,6,114711268,3,3,1,2,3,3,残靴：截断／换荷官／开收台可疑,87.0,215,1
2026-07-15,911,1289493,3,1,3,0,8,9,残靴：截断／换荷官／开收台可疑,87.0,216,1
2026-07-17,1,114713532,3,1,3,0,13,24,残靴：截断／换荷官／开收台可疑,87.0,217,1
2026-07-20,31,114716849,3,1,3,0,10,21,残靴：截断／换荷官／开收台可疑,87.0,218,1
2026-07-20,6,114716851,3,1,2,1,2,2,残靴：截断／换荷官／开收台可疑,87.0,219,1
