member_id,treat_time,treat_field,n_treat_events,n_pre,n_post,d_pre,d_post,stake_pre,stake_post,d_stake,d_validbet,d_revenue,hold_pre_pct,hold_post_pct,d_hold_pct,roi_pre,roi_post,d_roi,d_bets_per_day,verdict_exposure,audit_rn,batch_id
143676407,2026-05-21 00:00:07,mem015,1,15,1,5,1,541.47,26.19,-515.29,-445.45,-97.53,26.230583,100.000000,73.769417,-0.228477,-1.000000,-0.771523,-2.0000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,86,1
143676723,2026-05-21 00:00:51,mem015,1,26,3,12,2,509.34,61.10,-448.23,-342.70,-96.46,34.696332,71.428571,36.732240,-0.275074,-0.714286,-0.439211,-0.6667,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,87,1
149623190,2026-05-22 15:32:50,mem015,1,8,1,3,1,322.97,8.73,-314.25,-270.60,-96.02,37.500000,100.000000,62.500000,-0.324324,-1.000000,-0.675676,-1.6667,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,88,1
143790264,2026-05-23 11:39:06,mem015,1,48,3,8,1,681.37,26.19,-655.18,-532.25,-53.09,11.069638,33.333333,22.263695,-0.090726,-0.333333,-0.242608,-3.0000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,89,1
143784175,2026-05-21 00:03:32,mem015,1,8,0,5,0,95.86,0.00,-95.86,-95.86,-43.53,45.412844,,,-0.454128,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,90,1
143784281,2026-05-23 11:37:49,mem015,1,175,2,10,1,3220.98,17.46,-3203.52,-2760.72,-35.55,1.598933,100.000000,98.401067,-0.013748,-0.500000,-0.486252,-15.5000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,91,1
143792857,2026-05-23 11:39:18,mem015,1,7,0,3,0,95.37,0.00,-95.37,-95.37,-26.29,27.561819,,,-0.275618,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,92,1
143784078,2026-05-21 00:03:05,mem015,1,2,0,1,0,17.59,0.00,-17.59,-8.79,-8.79,100.000000,,,-0.500000,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,93,1
145008347,2026-05-23 11:40:05,mem015,1,1,0,1,0,8.79,0.00,-8.79,-8.79,-8.79,100.000000,,,-1.000000,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,94,1
143784967,2026-05-23 11:38:17,mem015,1,74,7,10,1,820.26,96.02,-724.24,-706.52,-0.83,1.218201,11.111111,9.892910,-0.011660,-0.090909,-0.079250,-0.4000,★ 平台毛利下降 —— 处置后少赚（须并读 ΔStake 判其系收敛抑或流失）,95,1
78149278,2026-04-12 18:31:33,mem016,2,1,0,1,0,17.59,0.00,-17.59,-17.59,16.71,-95.000000,,,0.950000,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,96,1
143784252,2026-05-21 00:04:17,mem015,1,79,4,7,2,3016.69,69.83,-2946.85,-2610.91,51.81,-1.281424,25.000000,26.281424,0.011387,-0.250000,-0.261387,-9.2857,◐ 平台毛利上升或持平,97,1
114636312,2026-08-01 09:59:11,mem015,2,2,0,2,0,67.69,0.00,-67.69,-67.69,54.10,-79.926660,,,0.799267,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,98,1
143790300,2026-05-23 11:39:13,mem015,1,46,4,8,1,684.54,43.65,-640.90,-596.99,79.45,-11.038547,20.000000,31.038547,0.103305,-0.200000,-0.303305,-1.7500,◐ 平台毛利上升或持平,99,1
146464996,2026-05-23 11:37:10,mem015,1,8,1,3,1,937.82,8.73,-929.09,-628.40,200.35,-30.075660,100.000000,130.075660,0.204325,-1.000000,-1.204325,-1.6667,◐ 平台毛利上升或持平,100,1
151853223,2026-06-29 14:18:33,mem016,1,4721,0,8,0,702987.39,0.00,-702987.39,-538564.15,269.82,-0.050099,,,0.000384,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,101,1
143785838,2026-05-23 11:38:34,mem015,1,2,0,1,0,336.64,0.00,-336.64,-336.64,330.94,-98.307292,,,0.983073,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,102,1
143707847,2026-05-21 00:02:37,mem015,1,33,2,10,2,2307.42,43.65,-2263.78,-1982.70,346.87,-14.964025,100.000000,114.964025,0.131412,-1.000000,-1.131412,-2.3000,◐ 平台毛利上升或持平,103,1
149221355,2026-05-20 22:54:41,mem015,1,259,0,4,0,4377.48,0.00,-4377.48,-3928.18,440.20,-11.206102,,,0.100559,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,104,1
150739691,2026-06-01 15:03:32,mem016,2,423,0,3,0,39638.62,0.00,-39638.62,-36670.74,741.97,-2.023328,,,0.018718,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,105,1
147728407,2026-05-23 11:28:34,mem015,1,51,7,4,2,1334.54,2770.60,1436.06,1566.69,1607.04,18.434353,67.117988,48.683635,-0.157618,-0.655955,-0.498336,-9.2500,◐ 平台毛利上升或持平,106,1
146504167,2026-04-12 18:32:01,mem015,3,242,1158,8,21,25218.75,258747.61,233528.86,206727.58,1974.84,-9.898383,-0.142310,9.756073,0.091286,0.001265,-0.090021,24.8929,◐ 平台毛利上升或持平,107,1
149210699,2026-05-03 20:58:35,mem017,1,658,0,7,0,37020.27,0.00,-37020.27,-33429.88,2089.83,-6.251379,,,0.056451,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,108,1
153246139,2026-07-27 15:58:31,mem016,2,442,0,2,0,325426.67,0.00,-325426.67,-292462.96,2754.92,-0.941971,,,0.008466,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,109,1
146561555,2026-04-01 01:51:34,mem015,14,0,10005,0,19,0.00,3402325.32,3402325.32,3027973.14,2822.03,,0.093199,,,-0.000829,,,NO_BASELINE —— 处置前无注单，无从比对,110,1
148804375,2026-04-18 16:26:58,mem015,1,42,0,1,0,10221.64,0.00,-10221.64,-9410.19,3350.50,-35.605007,,,0.327785,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,111,1
153596212,2026-08-03 15:24:15,mem016,2,11,0,1,0,15723.82,0.00,-15723.82,-12258.51,4331.63,-35.335689,,,0.275482,,,,NO_EXPOSURE —— 处置后完全未下注（★ 禁写 ΔROI = 0）,112,1
