member_id,bet_date,stake,game_pnl,net_pnl,rebate,validbet,n_rounds,n_tables,n_ip,late_def,late_share_d,hedge_rate_d,stake_cv_d,audit_rn,batch_id
101501093,2026-08-06,102.7406056560,38.9130043921,38.9130043921,0E-10,100.1720905146,13,2,1,shoe_pos>=0.80,0.5384615,0E-7,1.2121348247341683,147,1
101506309,2026-08-04,90.5123646358,-3.2325844515,-3.2325844515,0E-10,90.5123646358,20,13,1,shoe_pos>=0.80,0.3500000,0E-7,0.28025805202502874,148,1
101511651,2026-08-04,2.2224018102,-2.2224018102,-2.2224018102,0E-10,2.2224018102,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,149,1
101521460,2026-08-06,32.5871915257,32.5871915257,32.5871915257,0E-10,32.5871915257,3,1,1,shoe_pos>=0.80,0E-7,0E-7,0.47405955465172706,150,1
101531076,2026-08-04,1580.6642180175,-128.4257570704,-128.4257570704,0E-10,1542.1364908965,112,9,2,shoe_pos>=0.80,0.0089286,0E-7,0.5093578949345947,151,1
101542517,2026-08-05,860.4432459087,85.4022027657,85.4022027657,0E-10,565.0672062684,40,1,1,shoe_pos>=0.80,0.2500000,0.2500000,0.5472984715657816,152,1
101542517,2026-08-06,2003.4200949516,193.2786694170,193.2786694170,0E-10,1476.8801982015,59,1,1,shoe_pos>=0.80,0.1525424,0.2372881,0.6579356688548574,153,1
101573839,2026-08-06,218.3237870189,103.5111601982,103.5111601982,0E-10,218.3237870189,11,4,1,shoe_pos>=0.80,0E-7,0E-7,0.5338636348563411,154,1
101578180,2026-08-04,2904.9906249199,-811.6507846813,-811.6507846813,0E-10,2904.9906249199,9,6,1,shoe_pos>=0.80,0.7777778,0E-7,1.0161557568331854,155,1
101594379,2026-08-05,8.0814611282,-8.0814611282,-8.0814611282,0E-10,8.0814611282,1,1,1,shoe_pos>=0.80,0E-7,0E-7,,156,1
101612910,2026-08-06,34.6749544090,-11.0189299568,-11.0189299568,0E-10,32.3632907817,17,11,2,shoe_pos>=0.80,0.7058824,0E-7,1.3105303170556195,157,1
