no,file,n_out_cols,ROI,NetMargin,EconValue,Theo,ADT,NMPT,ESI,game_pnl,hold,residual_b,effect,expected_gain,MDD,Sharpe,Sortino,APUC,Wilcoxon,SignTest,stake,valid_bet,ngr,rebate,agent_cost,profit,PERCENT_RANK,vip_tier,action_priority,evidence
116,Z06_generated_probe_sql.csv,200,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
117,Z07_probe_bet02.csv,195,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
118,Z08_roundkey_integrity.csv,208,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
119,Z09_time_axis_recon.csv,211,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
120,Z11_sentinel_impact.csv,213,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
121,Z14_zero_month_diagnosis.csv,229,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
122,_P12b-pre.csv,193,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
123,_PH0_1b_table_inventory.csv,199,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
124,_PH0_2b_column_inventory.csv,200,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
125,_PH0_3_lmc_category.csv,201,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
126,_PH0_4L1_member_columns.csv,194,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
127,_PH0_4b_rg_keyword.csv,200,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
128,_PH0_4w2_balance_points.csv,204,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
129,_PH0_6b_member_daily.csv,195,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
130,DICT_ALL_columns.csv,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,DICT_ALL_tables.csv,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,DICT_SEMANTIC_ruling.csv,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,RK01_round_fact.csv,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
134,HE01_bet_side_edge.csv,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
