"荷官工号","综合分","赏侧均值","罚侧均值","综合分分位","在桌洗码量（原值）","桌面盈亏·平台视角（原值）","领域｜D06 收入","领域｜D04 活跃","领域｜D09 效率","领域｜D08 风险","领域｜D11 网络","维度｜在桌洗码量","维度｜客群广度","维度｜当值时长","维度｜节奏稳定度","维度｜对打局占比","维度｜异常对关联","维度｜風險單密度","维度｜特定玩家复现率"
"2222",23.33,70.11,46.78,95.1,33902766.61,62955.13,71.4,64.5,72.3,50.3,62,71.4,64.5,100,44.5,51.9,52.3,44.9,38
"2229",24.73,73.77,49.04,95.5,38311425.98,-309661.4,80.1,68.3,73.3,46.8,63.4,80.1,68.3,66.4,80.3,59.6,58.5,41.5,36.6
"2188",24.95,65.1,40.16,95.8,30379551.04,605524.8,64.1,63.4,66.4,60.6,57.5,64.1,63.4,84.6,48.3,25.8,25.8,66.6,42.5
"583",25.23,82.11,56.88,96.2,44128574.1,648806.71,85.4,86.8,78.2,29,85.4,85.4,86.8,99.6,56.7,64.8,79.8,68.3,14.6
"2218",26.94,62.74,35.8,96.5,19919568.46,370272.02,53,52.6,72.7,68.4,51.6,53,52.6,66.4,79,25.8,25.8,43.2,48.4
"2248",27.54,61.95,34.41,96.9,22215966.58,526811.8,54.4,52.3,70.6,69.6,53.7,54.4,52.3,75.2,66,25.8,25.8,39.7,46.3
"1399",28.09,62.41,34.32,97.2,30279823.65,571485.22,63.8,59.9,63,66.2,64.1,63.8,59.9,79.3,46.6,25.8,25.8,49.8,35.9
"2175",29,61.75,32.75,97.6,29647934.42,391649.9,62.7,59.2,62.5,69.1,61.7,62.7,59.2,88.1,37,25.8,25.8,41.1,38.3
"1210",30.55,85.08,54.53,97.9,64884718.47,333751.94,99,97.9,71.7,34.4,78.7,99,97.9,69.9,73.5,69.3,63.1,64.5,21.3
"2242",31.13,72.07,40.94,98.3,32973532.45,390819.68,69.3,63.1,77.9,58.5,60.6,69.3,63.1,75.2,80.7,25.8,25.8,72.8,39.4
"462",35.3,94.53,59.23,98.6,63734239.07,489018.94,97.9,99.7,90.3,28.3,78,97.9,99.7,98.6,81.9,62.7,71.4,80.8,22
"1935",36.61,70.32,33.71,99,31532716.53,212462.25,66.2,61,77,64.5,71.8,66.2,61,79.3,74.8,25.8,25.8,55.1,28.2
"550",37.34,90.21,52.87,99.3,47527378.39,-481963.27,87.1,90.2,91.8,37.5,76,87.1,90.2,98.6,84.9,68.3,71.1,48.1,24
"2160",37.8,85.53,47.74,99.7,46334630.33,-572641.6,86.4,89.9,82.9,37,97.9,86.4,89.9,88.1,77.7,61.7,65.2,62,2.1
"2256",40.83,78.29,37.46,100,35240794.06,456176.52,73.5,60.3,89.7,66,52.3,73.5,60.3,95.3,84,25.8,25.8,50.5,47.7
