t,c,v,n,pct
ods_a168_bet02,bet03,114606805,12468,0.0000606
ods_a168_bet02,bet03,114611901,12459,0.0000605
ods_a168_bet02,bet03,114678713,12453,0.0000605
ods_a168_bet02,bet03,114688402,12450,0.0000605
ods_a168_bet02,bet03,114668342,12447,0.0000605
ods_a168_bet02,bet03,114689050,12445,0.0000604
ods_a168_bet02,bet03,114647148,12444,0.0000604
ods_a168_bet02,bet03,114659429,12443,0.0000604
ods_a168_bet02,bet03,114591478,12436,0.0000604
ods_a168_bet02,bet03,114632344,12435,0.0000604
ods_a168_bet02,bet03,114639029,12429,0.0000604
ods_a168_bet02,bet03,114667627,12420,0.0000603
ods_a168_bet02,bet03,114715170,12419,0.0000603
ods_a168_bet02,bet03,114654525,12414,0.0000603
ods_a168_bet02,bet03,114605823,12405,0.0000603
ods_a168_bet02,bet03,114628021,12400,0.0000602
ods_a168_bet02,bet03,114714897,12393,0.0000602
ods_a168_bet02,bet03,114736274,12388,0.0000602
ods_a168_bet02,bet03,114747202,12385,0.0000602
ods_a168_bet02,bet03,114714025,12384,0.0000602
ods_a168_bet02,bet03,114621774,12380,0.0000601
ods_a168_bet02,bet03,114693181,12374,0.0000601
ods_a168_bet02,bet03,114699264,12370,0.0000601
ods_a168_bet02,bet03,114699835,12366,0.0000601
ods_a168_bet02,bet03,114689513,12357,0.00006
ods_a168_bet02,bet03,114684402,12340,0.0000599
ods_a168_bet02,bet03,114621497,12336,0.0000599
ods_a168_bet02,bet03,114732620,12332,0.0000599
ods_a168_bet02,bet03,114624758,12317,0.0000598
ods_a168_bet02,bet03,114599235,12313,0.0000598
ods_a168_bet02,bet03,114674743,12308,0.0000598
ods_a168_bet02,bet03,114603444,12299,0.0000597
ods_a168_bet02,bet03,114734138,12290,0.0000597
ods_a168_bet02,bet03,114690451,12287,0.0000597
ods_a168_bet02,bet03,114705331,12281,0.0000597
ods_a168_bet02,bet03,114647327,12276,0.0000596
ods_a168_bet02,bet03,114730380,12274,0.0000596
ods_a168_bet02,bet03,114679564,12274,0.0000596
ods_a168_bet02,bet03,114618280,12273,0.0000596
ods_a168_bet02,bet03,114613080,12254,0.0000595
ods_a168_bet02,bet03,114605821,12253,0.0000595
ods_a168_bet02,bet03,114743841,12253,0.0000595
ods_a168_bet02,bet03,114700607,12244,0.0000595
ods_a168_bet02,bet03,114634925,12239,0.0000594
ods_a168_bet02,bet03,114647048,12235,0.0000594
ods_a168_bet02,bet03,114675004,12234,0.0000594
ods_a168_bet02,bet03,114696868,12229,0.0000594
ods_a168_bet02,bet03,114658134,12219,0.0000594
ods_a168_bet02,bet03,114740747,12213,0.0000593
ods_a168_bet02,bet03,114633833,12212,0.0000593
ods_a168_bet02,bet03,114660253,12204,0.0000593
ods_a168_bet02,bet03,114739845,12203,0.0000593
ods_a168_bet02,bet03,114596855,12203,0.0000593
ods_a168_bet02,bet03,114670822,12198,0.0000592
ods_a168_bet02,bet03,114657949,12191,0.0000592
ods_a168_bet02,bet03,114627811,12190,0.0000592
ods_a168_bet02,bet03,114694697,12187,0.0000592
ods_a168_bet02,bet03,114716943,12175,0.0000591
ods_a168_bet02,bet03,114658415,12174,0.0000591
ods_a168_bet02,bet03,114717315,12163,0.0000591
ods_a168_bet02,bet03,114639293,12159,0.0000591
ods_a168_bet02,bet03,114683453,12159,0.0000591
ods_a168_bet02,bet03,114716848,12139,0.000059
ods_a168_bet02,bet03,114679007,12130,0.0000589
ods_a168_bet02,bet03,114670546,12126,0.0000589
ods_a168_bet02,bet03,114679281,12111,0.0000588
ods_a168_bet02,bet03,114612085,12108,0.0000588
