ip,n_member_log,country,city,in_bet_ip
138.113.153.181,851,JP,Tokyo,0
120.240.51.48,841,CN,Foshan,0
58.220.69.232,834,CN,Yangzhou,0
116.196.137.122,833,CN,Jinhua,0
58.220.69.240,833,CN,Yangzhou,0
223.109.46.82,821,CN,Nanjing,0
117.187.147.61,816,CN,Guiyang,0
116.179.51.24,814,CN,Beijing,0
202.75.140.201,809,MY,Kuala Lumpur,0
117.187.147.44,807,CN,Guiyang,0
120.240.51.47,807,CN,Foshan,0
122.228.237.89,805,CN,Hangzhou,0
117.176.244.153,803,CN,Beijing,0
120.232.140.28,801,CN,Guangzhou,0
123.126.74.83,800,CN,Beijing,0
123.126.74.69,800,CN,Beijing,0
58.220.69.241,797,CN,Yangzhou,0
120.232.140.20,792,CN,Guangzhou,0
117.187.147.59,790,CN,Guiyang,0
116.179.51.25,787,CN,Beijing,0
223.109.46.79,787,CN,Nanjing,0
221.180.208.68,786,CN,Shenyang,0
59.63.80.22,786,CN,Jingdezhen,0
42.81.144.159,783,CN,Tianjin,0
117.168.153.139,782,CN,Nanchang,0
122.228.237.165,780,CN,Hangzhou,0
223.109.46.80,779,CN,Nanjing,0
59.63.80.21,778,CN,Jingdezhen,0
223.109.46.76,777,CN,Nanjing,0
120.232.140.22,777,CN,Guangzhou,0
122.228.237.34,775,CN,Hangzhou,0
117.168.153.95,774,CN,Nanchang,0
116.196.137.117,773,CN,Jinhua,0
223.109.46.81,769,CN,Nanjing,0
180.163.117.176,765,CN,Shanghai,0
163.171.203.64,765,IN,Delhi,0
116.196.137.121,764,CN,Jinhua,0
117.176.244.151,762,CN,Beijing,0
61.184.6.21,759,CN,Xiangyang,0
42.81.144.237,759,CN,Tianjin,0
61.184.6.36,753,CN,Xiangyang,0
113.142.209.135,752,CN,Xianyang,0
111.51.133.227,740,CN,Beijing,0
117.176.244.152,739,CN,Beijing,0
61.184.6.37,724,CN,Xiangyang,0
183.192.164.22,724,CN,Shanghai,0
171.109.103.22,718,CN,Nanning,0
183.192.164.21,713,CN,Shanghai,0
221.180.208.67,711,CN,Shenyang,0
211.95.52.20,711,CN,Shanghai,0
61.184.6.39,710,CN,Xiangyang,0
113.142.209.184,710,CN,Xianyang,0
163.171.203.62,710,IN,Delhi,0
163.171.203.57,708,IN,Delhi,0
36.159.60.41,708,CN,Nanning,0
183.192.164.23,696,CN,Shanghai,0
101.28.249.115,690,CN,Handan,0
163.171.203.60,689,IN,Delhi,0
36.159.60.33,686,CN,Nanning,0
36.159.60.39,679,CN,Nanning,0
119.147.118.120,673,CN,Dongguan,0
120.221.97.149,672,CN,Jinan,0
120.221.97.151,671,CN,Jinan,0
163.171.203.59,663,IN,Delhi,0
203.116.188.199,657,SG,Singapore,0
120.221.97.150,653,CN,Jinan,0
113.6.84.199,650,CN,Suihua,0
101.28.249.113,642,CN,Handan,0
122.195.144.109,641,CN,Suqian,0
203.116.188.195,639,SG,Singapore,0
183.193.195.164,638,CN,Shanghai,0
111.124.71.142,638,CN,Zunyi,0
14.0.44.83,635,JP,Tokyo,0
218.24.86.109,633,CN,Shenyang,0
183.66.107.195,633,CN,Chongqing,0
163.171.204.131,633,IN,Mumbai,0
112.48.136.46,632,CN,Xiamen,0
117.145.179.18,631,CN,Beijing,0
