dealer_id,在桌洗码量,客群广度,n_rounds,n_tables,桌面输赢,当值时长,节奏稳定度,特定玩家复现率
2287,28380913.6610711378,23596,13325,5,-155597.4840765289,13325,0.0681639088432636,0.1347092
2244,27534330.5978098634,25689,13868,5,-890492.9225856984,13868,0.06227501987413191,0.0641044
2278,20570551.0087161356,21625,10442,5,-694810.2829902331,10442,0.07287790567457851,0.0791994
2276,17944068.2851176731,18344,9002,5,-546499.3971804381,9002,0.07464479204357526,0.0554321
2289,14867747.2690748267,14558,6535,5,70575.2563791781,6535,0.06763226798489749,0.2215761
1291,13658309.3524816240,13946,6643,7,-50891.1820136199,6643,0.13776154723851247,0.1396959
2232,9004315.0825792334,9788,3850,5,-398677.9308754884,3850,0.06662880304621904,0.1225974
1949,8758731.0731793749,10515,4639,6,-284923.9342653139,4639,0.07373773459352732,0.0691959
1354,7121946.5539391890,10619,4143,6,-207786.1807331276,4143,0.0811622608026332,0.1030654
2264,6996085.7637421171,8534,3056,5,-22291.5514942916,3056,0.06930037134158518,0.1711387
1491,6857063.0188711058,8848,3672,6,-254489.0626042577,3672,0.08840290286372082,0.1056645
1991,6757826.6965968059,9847,3390,6,-395939.7186214382,3390,0.07103238706094102,0.0923304
2107,6686468.6088776483,10198,3848,6,-361499.2836809321,3848,0.07789594735799882,0.1114865
1711,5484730.1522933798,7262,2811,6,6290.8535306534,2811,0.08008266801215802,0.1255781
2178,4787035.8391822271,6847,2747,9,227072.9706430139,2747,0.12508113150236508,0.1376047
1110,4597803.8770459408,6321,1929,5,100567.8506928171,1929,0.08456362504303579,0.0632452
2063,4432052.7556067531,6590,2503,5,-337934.7767090400,2503,0.058460918312079065,0.1402317
2210,4358865.9066689359,6570,2044,6,242686.3522049526,2044,0.06390854613556307,0.1174168
2124,4159812.2946877679,6489,1985,5,-252988.7978213243,1985,0.13845437724733625,0.1047859
1984,4021473.9825288414,6644,2310,6,49568.5798746230,2310,0.07279694419100675,0.1389610
2089,3971391.9417252541,6339,2040,6,-39283.9651610027,2040,0.06887303066916112,0.1235294
2109,3946953.1200406989,6007,2031,6,25365.1019984041,2031,0.1024986278398926,0.1221073
2064,3897435.2967195643,6669,2193,4,-182933.6287923076,2193,0.1352373538042682,0.1194710
2262,3821964.2542104283,5565,1824,5,-176421.4178408014,1824,0.07476730313168821,0.1474781
801,3797876.1805730671,5782,2018,6,-13437.8880423619,2018,0.08973361436646989,0.1105055
2072,3781360.3531196036,6291,1969,7,49244.6674696131,1969,0.08905620632540542,0.1254444
2122,3736857.8132330416,6672,1818,7,-175237.8660023025,1818,0.07088792615307522,0.1045105
2105,3708235.4727627951,6290,1892,6,107995.0572111441,1892,0.07468687113935527,0.0459831
576,3708000.8000764422,5061,1777,6,-134914.1916061483,1777,0.07227258567199268,0.1688239
2118,3681838.0777635832,5354,1622,5,153274.6468852651,1622,0.13730048235833853,0.1208385
1150,3659487.6783803062,6051,1858,7,-216778.4837126704,1858,0.06432556886802951,0.1501615
2173,3630893.8359990477,5725,1909,6,34189.7659204739,1909,0.08251559087982083,0.1875327
2149,3597046.3599283985,5126,2139,4,-87021.8237786411,2139,0.12433857917209046,0.1720430
915,3582929.1665377760,6093,1919,6,-204001.4998949617,1919,0.13255294695316858,0.1490360
2189,3525171.4969428629,5213,1494,5,-67629.4290352843,1494,0.05766009728694383,0.1084337
989,3521723.4364221698,5600,1498,5,-290477.3365455903,1498,0.12634951991734406,0.0974633
2208,3491023.4876170908,4698,1550,5,47351.3813107250,1550,0.08485319758009711,0.2664516
2075,3489733.6979027891,4772,1594,4,113892.2588627330,1594,0.13475713942804074,0.1587202
1114,3395533.5607470357,5204,1449,6,57446.3286315235,1449,0.07990816888296894,0.2760524
1220,3318450.2451760811,5749,1502,7,-34946.9224188323,1502,0.08687214848978443,0.1338216
2066,3283035.9052744886,4637,1636,3,-313398.7919741975,1636,0.0649936650009477,0.0611247
2193,3265643.5866894396,5592,1840,8,-25074.1710410277,1840,0.13215645073983778,0.1021739
1185,3174002.0743491131,5055,1612,5,34639.1881086697,1612,0.09784960608736828,0.2071960
1952,3126470.8864028180,4631,1575,6,-83927.1308944826,1575,0.09367635001155009,0.1784127
2092,3113090.7315578111,5132,1592,5,161743.8684829517,1592,0.13273983065741032,0.1777638
1964,3087160.9741497455,5056,1647,5,-166454.7618843745,1647,0.1238724790539472,0.1426837
1301,3064241.9261754464,5426,1700,5,98649.3442748242,1700,0.12861221414066293,0.1188235
2154,3026669.3531380483,5040,1567,6,117064.3102093346,1567,0.10583561798778605,0.1359285
2065,2989425.2849628386,5729,1554,3,-95243.8531748205,1554,0.1350347608343017,0.1377091
2110,2925782.9530551749,5031,1422,6,-39230.8040676648,1422,0.0909462008147947,0.0527426
2136,2909923.4615336404,4356,1471,6,-80674.0383481753,1471,0.08183243683982294,0.2542488
2080,2842968.3508786261,3644,1113,3,-247682.8653538013,1113,0.13498315018538895,0.3288410
2187,2834838.7023961141,4992,1431,6,-28103.4297108321,1431,0.06997025921509707,0.1243885
2176,2798850.5119232991,4577,1247,5,-123055.7676353277,1247,0.1197495681942745,0.1251002
2084,2779097.6045137464,4985,1567,6,69047.6033548123,1567,0.06520471684833178,0.2878111
2243,2743172.1024920414,3733,1212,6,-74393.0731005873,1212,0.133111297408398,0.1369637
1257,2731344.5254624358,5089,1512,6,34081.7672927894,1512,0.0890334403001606,0.0648148
2214,2700874.9073422790,3897,1177,6,54219.5831662814,1177,0.06223026353771866,0.0866610
2078,2651516.8774798513,4437,1365,6,-86615.9422162775,1365,0.06110898358202589,0.1194139
2090,2625351.6427338990,4051,1367,5,-166149.2316682408,1367,0.06328786804239021,0.1901975
2213,2589335.7803804062,3838,1687,6,-114346.0291924517,1687,0.12618803483240573,0.2299941
2071,2579539.8747293709,5194,1633,6,-250506.9859294299,1633,0.08383765332371344,0.0649112
