table,column,rows,sum,max_abs,ratio_to_stake,ratio_to_gross_ggr,units_verdict
S_player_tail.csv,tail_rebate,159603,1819398.03449716,370670.53976445,0.000135411236758986,0.00777012621872395,PLAUSIBLE
S_player_tail.csv,tail_net_pnl,159603,-49028429.9372882,1701512.46377118,-0.00364900929223787,-0.209386336412021,PLAUSIBLE
S_player_tail.csv,norm_game_pnl,159603,-149269985.191691,2272178.5,-0.0111096268779848,-0.637489215451993,PLAUSIBLE
T02_daily_roi.csv,game_pnl,1160259,-138892883.982106,1621074.5,-0.010337296644512,-0.593171597946579,PLAUSIBLE
T03_arbitrage.csv,validbet,80631,11424439019.7349,101787084.697759,0.850279811018633,48.7904963500683,PLAUSIBLE
T03_arbitrage.csv,game_pnl,80631,-193410621.322411,4016417.7737817,-0.0143948552977467,-0.826001188976934,PLAUSIBLE
T03_arbitrage.csv,net_pnl,80631,-185475553.003615,4016417.7737817,-0.0138042767687817,-0.792112792253299,PLAUSIBLE
T03_arbitrage.csv,rebate,80631,7935068.31878732,794419.859283388,0.00059057852896439,0.0338883967235985,PLAUSIBLE
VB_00_validbet_contract.csv,vb_sum,1,604032736752.17,604032736752.17,44.9559790522318,2579.65025564225,EXCEEDS_PLATFORM_STAKE_3X
VB_00b_zero_five_rates.csv,zero_stake_sum,1,1275823490.18,1275823490.18,0.0949549430172855,5.44867553088861,PLAUSIBLE
VB_00b_zero_five_rates.csv,zero_ggr_sum,1,691538.75,691538.75,0.0000514687361581895,0.00295336329420827,PLAUSIBLE
VB_00b_zero_five_rates.csv,all_stake_sum,1,13436093473.33,13436093473.33,0.999999999964707,57.3816944917173,PLAUSIBLE
VB_00b_zero_five_rates.csv,all_ggr_sum,1,234152957.1,234152957.1,0.0174271604731329,0.999999998162739,PLAUSIBLE
VB_41b_identity_strata.csv,commission_value,51,1017,999,0.0000000756916437045338,0.00000434331477478277,PLAUSIBLE
VB_41b_identity_strata.csv,vb_sum,51,604032736752.17,278769695574,44.9559790522318,2579.65025564225,EXCEEDS_PLATFORM_STAKE_3X
VB_41b_identity_strata_v18b.csv,commission_value,51,1017,999,0.0000000756916437045338,0.00000434331477478277,PLAUSIBLE
VB_41b_identity_strata_v18b.csv,vb_sum,51,604032736752.17,278769695574,44.9559790522318,2579.65025564225,EXCEEDS_PLATFORM_STAKE_3X
VB_41c1_964_detail.csv,commission,964,1096,999,0.0000000815713289087208,0.00000468070107488881,PLAUSIBLE
VB_41c1_964_detail.csv,stake_raw,964,2242708,1000000,0.00016691667145458,0.00957796144731909,PLAUSIBLE
VB_41c1_964_detail.csv,payout_raw,964,2242708,1000000,0.00016691667145458,0.00957796144731909,CHECK
VB_41c1_964_detail.csv,rebate_raw,964,0,0,0,0,PLAUSIBLE
VB_41c1_964_detail.csv,validbet,964,2242708,1000000,0.00016691667145458,0.00957796144731909,PLAUSIBLE
VB_41c1_964_detail.csv,diff_vb_minus_b41,964,2242708,1000000,0.00016691667145458,0.00957796144731909,PLAUSIBLE
