TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_COMMENT
ods_a168_dailyreport_table,risk,varchar,source_type=tinyint(1); 風險單 1:是
ods_a168_dailyreport_table,orders,varchar,source_type=tinyint(1); 劃單 1:是
ods_a168_dailyreport_table,source_db,varchar,来源库
ods_a168_dailyreport_table,source_table,varchar,来源表
ods_a168_dailyreport_table,ods_table_name,varchar,ODS表名
ods_a168_dailyreport_table,sync_time,datetime,同步时间
ods_a168_employee,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_employee,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_employee,id,varchar,source_type=int(11);
ods_a168_employee,account,varchar,source_type=varchar(20);
ods_a168_employee,password,varchar,source_type=varchar(20);
ods_a168_employee,name,varchar,source_type=varchar(30);
ods_a168_employee,type,varchar,source_type=int(11); 1:帳房人員;2:接線員;3:荷官
ods_a168_employee,roles,varchar,source_type=int(11); 權限
ods_a168_employee,phone,varchar,source_type=varchar(13);
ods_a168_employee,email,varchar,source_type=varchar(30);
ods_a168_employee,qq,varchar,source_type=varchar(20);
ods_a168_employee,enable,varchar,"source_type=enum(''Y'',''N'');  停啟用"
ods_a168_employee,status,varchar,"source_type=int(11); 0:下線中,1:上線中,2:連結中,3:己連線,4:暫時離開"
ods_a168_employee,servicemember,varchar,source_type=int(11); 服務會員
ods_a168_employee,lasttime,varchar,source_type=datetime;
ods_a168_employee,lastip,varchar,source_type=varchar(20);
ods_a168_employee,addtime,varchar,source_type=datetime;
ods_a168_employee,addip,varchar,source_type=varchar(20);
ods_a168_employee,image,varchar,source_type=varchar(50); 圖檔名
ods_a168_employee,image2,varchar,source_type=varchar(50);
ods_a168_employee,source_db,varchar,来源库
ods_a168_employee,source_table,varchar,来源表
ods_a168_employee,ods_table_name,varchar,ODS表名
ods_a168_employee,sync_time,datetime,同步时间
ods_a168_game_info,__source_pk,varchar,源行唯一键：优先源主键/唯一键MD5，无主键则整行MD5
ods_a168_game_info,dt,date,StarRocks日分区日期：优先来源业务时间，无时间字段则同步当天
ods_a168_game_info,gi001,varchar,source_type=int(11); 遊戲類別
ods_a168_game_info,gi002,varchar,"source_type=decimal(12,0); 場次編號"
ods_a168_game_info,gi003,varchar,source_type=int(11); 子場次編號
ods_a168_game_info,gi004,varchar,source_type=datetime; 開局時間
ods_a168_game_info,gi005,varchar,"source_type=decimal(16,4); 總下注金額"
ods_a168_game_info,gi006,varchar,source_type=datetime; 開獎時間
ods_a168_game_info,gi007,varchar,source_type=text; 開獎內容
ods_a168_game_info,gi008,varchar,"source_type=decimal(16,4); 輸贏"
ods_a168_game_info,gi009,varchar,"source_type=decimal(16,4); 總退水"
