dealer_id,Estimate,Est.Error,Q2.5,Q97.5,n_obs,mean_roi,total_turnover,Q0.25,Q99.75,Q0.05,Q99.95,显著_p005,显著_p001
1115,-0.0240594996989072,0.0117939760688951,-0.0475125869661317,-0.00113057684197691,892,0.426953970397545,769424189,-0.0575066535098684,0.00856159639240406,-0.0625330544069904,0.0128045353512252,FALSE,FALSE
2266,-0.02389261166154,0.0121319999001995,-0.048117150830527,-0.000573816668975147,777,0.426999829649884,981604309,-0.0587679159787424,0.00866432928444454,-0.0642166547333267,0.0112740033669188,FALSE,FALSE
2222,-0.0228566795994289,0.0123965678332445,-0.0472191030776207,0.00103614105663344,763,0.427992959876802,494452440,-0.0587823665767024,0.0101647186126358,-0.0613932847418104,0.0148384797763604,FALSE,FALSE
2103,-0.0226957753724145,0.0191483620451867,-0.0604525059989361,0.0144651870879048,254,0.425770764287323,226679422,-0.0758899656529398,0.0291905983852486,-0.0842035603813463,0.0343934820752454,FALSE,FALSE
1507,-0.0211025450560192,0.0114295398345651,-0.0438673600203884,0.00182464052667886,927,0.429819554950755,812919603,-0.0506317015737805,0.0115375999358543,-0.0566758222829797,0.0181849271943712,FALSE,FALSE
1947,-0.0194061394270238,0.0110149325024092,-0.0411602660751367,0.00157452061171122,970,0.431951043722103,638364056,-0.0505932528361187,0.0109675878157233,-0.0602183007005781,0.01523490409059,FALSE,FALSE
1951,-0.0193634118741923,0.0111644037705869,-0.041351765918149,0.00263454915089213,1007,0.431859109406753,2933224088,-0.0500096491283204,0.012765774775031,-0.0573546160420379,0.0159161766975436,FALSE,FALSE
2124,-0.0185936427436874,0.0226343448112151,-0.0640883471018252,0.0253584456600783,148,0.428374894551419,622233898,-0.0846174489020409,0.0443585148754374,-0.0968741564741528,0.0554241103418581,FALSE,FALSE
2249,-0.0159582444902175,0.0421829396116474,-0.100063656275687,0.0678376456305074,13,0.391891852634615,663510,-0.139636518011349,0.0974386969810078,-0.161130552531358,0.11371921690382,FALSE,FALSE
2149,-0.0149302476091473,0.0259084025126655,-0.0647591509514044,0.0353921775106862,101,0.43085043122901,150615937,-0.0870731861054689,0.058780078247363,-0.0994935805897756,0.0755352164160451,FALSE,FALSE
