日期,有效订单数,本金,洗码量,游戏输赢,退水,下注退水,净输赢,残差式一,残差式二,残差式三,游戏输赢率洗码量为分母,游戏输赢率本金为分母,免佣订单数,佣金标脏值订单数
2026-05-12,963323,95733171.0290345994,86696069.9760036668,-2311698.3588349602,62749.7220884309,86696064.7868593567,-2248948.6367464434,8.59E-8,-86696064.7868592708,-86633315.0647708399,-0.026664396200,-0.024147307918,62631,0
2026-05-13,932672,103105567.3898648152,93067594.5851852098,-1473994.1552482751,61003.6792630718,93067594.5851852098,-1412990.4759851102,9.31E-8,-93067594.5851851167,-93006590.9059220449,-0.015837888170,-0.014295970553,67097,0
2026-05-14,910507,85907654.5066464236,77484299.5622575513,-1730066.3602403621,40987.4534192984,77479159.2484367910,-1689078.9068209634,1.003E-7,-77479159.2484366907,-77438171.7950173923,-0.022327960245,-0.020138675304,58545,0
2026-05-15,947896,90990779.8797926888,81923160.4605160929,-2264659.8012934460,48691.0285627674,81923160.4605160929,-2215968.7727304867,1.919E-7,-81923160.4605159010,-81874469.4319531336,-0.027643706475,-0.024888893185,60477,0
2026-05-16,936889,110244959.4853069623,99224355.1017297492,-1641851.9065983911,40817.1154167418,99224355.1017297492,-1601034.7911814869,1.624E-7,-99224355.1017295868,-99183537.9863128450,-0.016546863972,-0.014892761667,65281,0
2026-05-17,771906,68136143.3792843213,61462539.9885535983,-1405851.1330526658,39762.6101255483,61462539.9885535983,-1366088.5229270481,6.94E-8,-61462539.9885535289,-61422777.3784279806,-0.022873300279,-0.020632971920,52684,0
2026-05-18,815905,85409097.9550839018,76738559.2381591177,-1731894.7458224735,35719.9483878902,76738559.2381591177,-1696174.7974344917,9.16E-8,-76738559.2381590261,-76702839.2897711359,-0.022568768075,-0.020277637714,59165,0
2026-05-19,922853,94058299.1348460439,85399215.0138955450,-1252367.8292920711,83698.7788311376,85398096.2717652726,-1168669.0504608291,1.044E-7,-85398096.2717651682,-85314397.4929340306,-0.014664863478,-0.013314804125,63660,0
2026-05-20,882078,98822176.3664838215,89116432.6930382000,-1142169.1603728806,44739.4942251300,89116432.6930382000,-1097429.6661476590,9.16E-8,-89116432.6930381084,-89071693.1988129784,-0.012816594267,-0.011557822367,62608,0
2026-05-21,832651,80913583.0678261982,73613557.8520612688,-1824869.1726622440,39642.3387479088,73613557.8520612688,-1785226.8339142496,8.56E-8,-73613557.8520611832,-73573915.5133132744,-0.024789851570,-0.022553310624,58533,0
2026-05-22,809659,93997539.8926858517,84715204.1578589557,-1577812.1261544016,33658.0019498821,84715204.1578589557,-1544154.1242044479,7.16E-8,-84715204.1578588841,-84681546.1559090020,-0.018624899058,-0.016785674688,64549,0
2026-05-23,810688,88458421.3521832876,79914242.1178614854,-952425.4149602315,39483.8105082013,79914242.1178614854,-912941.6044519766,5.36E-8,-79914242.1178614318,-79874758.3073532305,-0.011918093568,-0.010766927562,58212,0
2026-05-24,714054,87894893.0310550575,79703486.0331475683,-839513.0123835348,42559.5941991488,79703486.0331475683,-796953.4181842811,1.049E-7,-79703486.0331474634,-79660926.4389483146,-0.010532952248,-0.009551328677,53544,0
2026-05-25,679608,88122790.2976893690,78937341.8777153642,-171306.8064104738,65395.7501973748,78937341.8777153642,-105911.0562129272,1.718E-7,-78937341.8777151924,-78871946.1275178176,-0.002170161831,-0.001943955767,50203,0
2026-05-26,828878,90165426.9851781213,81229509.7688793647,-1405677.2199917320,56580.6566992091,81229509.7688793647,-1349096.5632924230,9.99E-8,-81229509.7688792648,-81172929.1121800557,-0.017305006813,-0.015589980184,58717,0
2026-05-27,818205,85444974.2700119440,77079332.5923448807,-872489.7809265090,25651.3523961203,77079332.5923448807,-846838.4285302712,1.175E-7,-77079332.5923447632,-77053681.2399486429,-0.011319373840,-0.010211130478,58008,0
2026-05-28,824350,92207188.2069896800,82847213.5924887562,-1758241.2391421319,66766.6678920846,82847213.5924887562,-1691474.5712498217,2.256E-7,-82847213.5924885306,-82780446.9245964460,-0.021222696128,-0.019068374964,60704,0
2026-05-29,939103,98078119.8305540363,88224088.4821452516,-1289421.3175063968,57223.4437267896,88224085.8634301679,-1232197.8737794295,1.777E-7,-88224085.8634299902,-88166862.4197032006,-0.014615297700,-0.013146880464,70682,0
2026-05-30,893677,84206194.9536869179,76145869.1647582313,-2154867.1497918382,52284.1384357535,76145869.1647582313,-2102583.0113558882,1.965E-7,-76145869.1647580348,-76093585.0263222813,-0.028299199595,-0.025590363642,70866,0
2026-05-31,803912,78078465.8712134008,70178655.1842967295,-1301173.7962224510,37788.6381642218,70176799.4061037918,-1263385.1580580369,1.923E-7,-70176799.4061035995,-70139010.7679393777,-0.018540876750,-0.016664950850,66705,0
2026-06-01,841961,93717340.5460971418,84851908.8260494494,-2093143.1075618459,40478.2519622259,84851901.2336115176,-2052664.8555992342,3.858E-7,-84851901.2336111318,-84811422.9816489059,-0.024668191164,-0.022334640477,62915,0
