IP,承载会员数,订单数,活跃天数,投注金额,游戏盈利,净盈利,订单占全量比,投注额占全量比,入选门槛_承载会员数P999
120.29.76.71,159,274,7,19886.624378735414,174.53993537588474,174.53993537588497,2.1132232468964097e-06,1.4304333079322323e-06,44
104.28.166.115,158,4022,96,291631.1262932957,-13185.15311050434,-13185.153110504338,3.1019649266486714e-05,2.0976857043962963e-05,44
104.28.157.196,158,3138,101,463081.9032652831,-19709.761760737147,-19705.372185977205,2.420180492248516e-05,3.330921156431252e-05,44
113.181.125.138,158,681,5,8555.349056356828,-421.61610344737335,-421.6161034473731,5.252208142833777e-06,6.153812742742418e-07,44
104.28.160.181,157,3071,99,1722737.628828458,-14406.27633433337,-14405.00736881613,2.3685067851163775e-05,0.000123915514175419,44
104.28.166.114,157,2711,87,151979.37052784036,-10879.469121810393,-10878.696708017289,2.0908570154511555e-05,1.0931787596594675e-05,44
136.158.62.82,156,676,4,3723.586670875939,-44.71638622716745,-44.71638622716759,5.2136456748247185e-06,2.6783542030837807e-07,44
138.84.109.184,154,276,2,826.9402221170463,-87.14626924812609,-87.14626924812609,2.128648234100033e-06,5.9481328497859464e-08,44
104.28.166.113,150,2472,84,183632.68721373394,4613.906335740307,4613.906335740307,1.9065284183678557e-05,1.3208592228276893e-05,44
104.28.157.193,147,2601,87,1705497.775575126,76436.86918259531,76437.53125156082,2.006019585831227e-05,0.00012267546157283658,44
122.155.29.108,145,833,57,47833.46533776383,-787.2659676485194,-787.265967648519,6.424507170309158e-06,3.440633299541924e-06,44
104.28.158.56,144,3871,100,659241.7657723019,10693.322960981945,10699.272499792782,2.9855062732613146e-05,4.741887621456271e-05,44
104.28.160.187,143,3507,95,443412.0175505995,-13904.868275990779,-13904.597639996191,2.704771506155368e-05,3.1894368142238844e-05,44
104.28.157.195,141,2713,91,554790.9467844033,-49426.783191353585,-49426.010777560485,2.092399514171518e-05,3.990578964563987e-05,44
171.225.198.37,140,2570,43,22549.191650598037,-94.87509767800555,-94.87509767800555,1.9821108556656105e-05,1.621950220895856e-06,44
136.158.40.65,140,2052,48,32053.643417720385,-1335.042037277234,-1335.042037277234,1.582603687091764e-05,2.30559990031881e-06,44
136.158.62.16,138,445,5,2870.651333183053,-8.502346797766592,-8.502346797766652,3.4320596528062126e-06,2.0648427828887388e-07,44
103.247.21.211,136,4924,28,188104.31889546828,-2603.254179639424,-2603.254179639424,3.797631849532088e-05,1.3530234090492453e-05,44
104.28.157.201,136,2016,86,2514587.144704411,-86480.96385448224,-86480.96385448224,1.5548387101252417e-05,0.00018087278861311334,44
14.235.168.2,136,653,3,12477.288885377991,-2.5541775285041624,-2.554177528504283,5.036258321983049e-06,8.974841217105676e-07,44
49.48.81.164,135,5496,26,344925.1129083079,-13018.096838567371,-10185.10744669677,4.238786483555718e-05,2.481026245831392e-05,44
104.28.205.74,131,7719,107,228114.36634312067,-5666.210661035664,-5666.210661035664,5.953273811238462e-05,1.640813349821035e-05,44
103.25.77.130,130,1219,39,42076.41862539996,-722.0089413417629,-553.6040590322029,9.40152970060848e-06,3.0265322829062034e-06,44
171.250.167.48,130,1032,18,42475.830579139394,-2471.3354036525457,-2471.3354036525457,7.959293397069689e-06,3.0552617520878157e-06,44
14.191.108.145,130,309,5,3439.782216056331,-88.44855116090358,-88.44855116090355,2.3831605229598197e-06,2.474215311846106e-07,44
103.218.237.76,130,197,24,7705.3507929429925,158.74355310573117,158.74355310573117,1.5193612395569078e-06,5.542413942968324e-07,44
104.28.160.182,128,1890,85,111300.99267195958,-4418.866309099426,-4393.297036122744,1.457661290742414e-05,8.005815571904332e-06,44
116.99.254.243,128,414,9,22965.079944262572,-321.5870553935888,-321.5870553935888,3.1929723511500497e-06,1.651864823611085e-06,44
136.158.40.232,126,2147,35,26589.39541034366,-142.1905396094545,-142.1905396094545,1.655872376308975e-05,1.9125597239824064e-06,44
42.116.206.214,124,868,16,26189.51090591195,-581.5605795693435,-581.5605795693436,6.694444446372568e-06,1.8837962645047517e-06,44
