agent_level,agent_id,top_agent_id,parent_agent_id,is_test_line,n_bets_all,n_bets_prod,n_bets_testline,n_members_all,n_members_prod,active_days,first_seen,last_seen,own_share_pct_unw,own_share_pct_w,pct_complement,pct_top_bet23,stake,valid_bet,profit,rebate_cost,cost_complement_b,cost_ownshare_a,ngr,residual_b,residual_a,hold_rate,stake_testline_audit,profit_testline_audit,agent_status,agent_formula_version,audit_rn,batch_id
1,6120,6120,,0,2315,2315,0,30,30,49,2026-03-25,2026-08-03,0.000000,0.000000,4.000000,96.000000,118164.3539,104961.4066,1058.1891,0.0000,42.3276,0.0000,1058.1891,1015.8615,1058.1891,0.00895523,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,49,1
1,51429,51429,,0,1562,1562,0,9,9,37,2026-05-23,2026-08-05,0.000000,0.000000,3.000000,97.000000,30243.0000,29148.0000,1572.2500,0.0000,47.1675,0.0000,1572.2500,1525.0825,1572.2500,0.05198724,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,50,1
1,46273,46273,,0,761,761,0,9,9,139,2026-03-21,2026-08-06,0.000000,0.000000,3.000000,97.000000,31199.1442,27178.6010,1578.8870,0.0000,47.3666,0.0000,1578.8870,1531.5204,1578.8870,0.05060674,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,51,1
1,5071,5071,,0,2626,2626,0,26,26,59,2026-03-23,2026-08-06,0.000000,0.000000,4.000000,96.000000,392970.7317,357544.7118,1677.9395,0.0000,67.1176,0.0000,1677.9395,1610.8219,1677.9395,0.00426988,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,52,1
1,36237,36237,,0,2243,2243,0,39,39,69,2026-03-22,2026-08-06,-6.000000,-6.000000,6.000000,94.000000,28694.6617,24556.4189,2087.8854,0.0000,125.2731,-125.2731,2087.8854,1962.6122,2213.1585,0.07276215,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,53,1
1,34394,34394,,0,11349,11349,0,133,133,101,2026-03-22,2026-08-06,0.000000,0.000000,4.000000,96.000000,314065.6234,283701.0624,2191.8048,0.0000,87.6722,0.0000,2191.8048,2104.1326,2191.8048,0.00697881,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,54,1
1,52813,52813,,0,9,9,0,1,1,1,2026-03-27,2026-03-27,0.000000,0.000000,3.000000,97.000000,7309.9415,6335.2827,2436.6472,0.0000,73.0994,0.0000,2436.6472,2363.5478,2436.6472,0.33333333,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,55,1
1,36258,36258,,0,151,151,0,10,10,10,2026-05-06,2026-08-03,0.000000,0.000000,6.000000,94.000000,7440.3963,6271.6532,2610.3864,50.1732,156.6232,0.0000,2560.2131,2403.5899,2560.2131,0.35083969,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,56,1
1,48101,48101,,0,133,133,0,2,2,11,2026-06-01,2026-08-05,0.000000,0.000000,4.000000,96.000000,11527.1490,9375.5856,2622.2172,0.0000,104.8887,0.0000,2622.2172,2517.3285,2622.2172,0.22748185,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,57,1
1,32806,32806,,0,201,201,0,11,11,11,2026-03-22,2026-06-30,0.000000,0.000000,4.000000,96.000000,22436.2496,19463.0304,2630.3606,0.0000,105.2144,0.0000,2630.3606,2525.1462,2630.3606,0.11723709,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,58,1
1,7660,7660,,0,18021,18021,0,9,9,13,2026-04-13,2026-08-05,0.000000,0.000000,4.000000,96.000000,139965.1155,126967.4967,3687.8374,0.0000,147.5135,0.0000,3687.8374,3540.3239,3687.8374,0.02634826,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,59,1
1,18699,18699,,0,2241,2241,0,22,22,63,2026-04-10,2026-08-05,0.000000,0.000000,4.000000,96.000000,792566.2389,698823.4379,4185.9606,0.0000,167.4384,0.0000,4185.9606,4018.5222,4185.9606,0.00528153,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,60,1
1,150,150,,0,3154,3154,0,27,27,89,2026-03-22,2026-08-06,0.000000,0.000000,5.000000,95.000000,371995.0000,342286.0000,5705.8000,0.0000,285.2900,0.0000,5705.8000,5420.5100,5705.8000,0.01533838,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,61,1
1,5186,5186,,0,637,637,0,13,13,45,2026-03-25,2026-08-06,0.000000,0.000000,5.000000,95.000000,144039.4991,126118.2215,5742.5623,0.0000,287.1281,0.0000,5742.5623,5455.4342,5742.5623,0.03986797,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,62,1
1,53723,53723,,0,752,752,0,21,21,22,2026-04-20,2026-08-06,0.000000,0.000000,3.000000,97.000000,67924.3901,61082.6958,6068.5301,0.0000,182.0559,0.0000,6068.5301,5886.4742,6068.5301,0.08934243,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,63,1
1,46178,46178,,0,3121,3121,0,21,21,26,2026-04-04,2026-08-06,0.000000,0.000000,3.000000,97.000000,279957.5878,250974.4752,6662.0038,0.0000,199.8601,0.0000,6662.0038,6462.1437,6662.0038,0.02379648,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,64,1
1,46234,46234,,0,63,63,0,10,10,13,2026-03-28,2026-07-29,0.000000,0.000000,4.000000,96.000000,20540.0417,18961.4146,6809.3552,0.0000,272.3742,0.0000,6809.3552,6536.9810,6809.3552,0.33151613,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,65,1
1,49377,49377,,0,58585,58585,0,266,266,139,2026-03-21,2026-08-06,0.000000,0.000000,3.000000,97.000000,4437071.9847,4039235.5048,7030.7822,0.0000,210.9235,0.0000,7030.7822,6819.8588,7030.7822,0.00158455,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,66,1
1,55775,55775,,0,1940,1940,0,1,1,7,2026-04-09,2026-04-15,0.000000,0.000000,5.000000,95.000000,752929.0000,693389.0000,13827.6990,6240.5010,691.3850,0.0000,7587.1980,6895.8131,7587.1980,0.01836521,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,67,1
1,26133,26133,,0,9365,9365,0,103,103,127,2026-03-22,2026-08-06,0.000000,0.000000,4.000000,96.000000,3380755.4701,2994651.8951,7429.6704,0.0000,297.1868,0.0000,7429.6704,7132.4836,7429.6704,0.00219764,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,68,1
1,28519,28519,,0,14952,14952,0,4,4,133,2026-03-21,2026-08-06,0.000000,0.000000,6.000000,94.000000,1014070.0198,907973.1790,8422.8507,0.0000,505.3710,0.0000,8422.8507,7917.4797,8422.8507,0.00830599,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,69,1
1,6511,6511,,0,227704,227704,0,1837,1837,139,2026-03-21,2026-08-06,1.000000,1.000000,4.000000,96.000000,2527094.7320,2255199.4546,9090.7464,0.0000,363.6299,90.9075,9090.7464,8727.1165,8999.8389,0.00359731,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,70,1
1,46296,46296,,0,22317,22317,0,180,180,137,2026-03-22,2026-08-06,0.000000,0.000000,4.000000,96.000000,249818.6611,227327.0073,14946.6780,0.0000,597.8671,0.0000,14946.6780,14348.8109,14946.6780,0.05983011,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,71,1
1,34014,34014,,0,4312,4312,0,30,30,58,2026-03-23,2026-08-05,0.000000,0.000000,4.000000,96.000000,1328425.0922,1200820.4662,15742.1656,0.0000,629.6866,0.0000,15742.1656,15112.4789,15742.1656,0.01185025,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,72,1
1,46797,46797,,0,11651,11651,0,837,837,138,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,289312.6838,250224.9703,17298.2811,0.0000,691.9312,0.0000,17298.2811,16606.3499,17298.2811,0.05979095,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,73,1
1,38488,38488,,0,100404,100404,0,317,317,139,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,12734334.6441,11451413.2906,23122.3188,0.0000,924.8928,0.0000,23122.3188,22197.4261,23122.3188,0.00181575,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,74,1
1,6095,6095,,0,18300,18300,0,96,96,137,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,543767.9081,480529.1121,23728.8300,0.0000,949.1532,0.0000,23728.8300,22779.6768,23728.8300,0.04363779,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,75,1
1,7650,7650,,0,2438,2438,0,5,5,60,2026-03-26,2026-07-23,0.500000,0.500000,4.000000,96.000000,250171.3942,223348.8150,23853.9862,0.0000,954.1594,119.2699,23853.9862,22899.8268,23734.7163,0.09535057,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,76,1
1,7841,7841,,0,4150,4150,0,43,43,77,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,1094484.4811,994230.4278,30798.1247,0.0000,1231.9250,0.0000,30798.1247,29566.1997,30798.1247,0.02813939,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,77,1
1,6546,6546,,0,228961,228961,0,928,928,139,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,31649267.3062,28555802.3318,37799.1196,0.0000,1511.9648,0.0000,37799.1196,36287.1548,37799.1196,0.00119431,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,78,1
1,7592,7592,,0,35929,35929,0,502,502,139,2026-03-21,2026-08-06,0.000000,0.000000,4.000000,96.000000,981713.8098,888318.4859,37855.2733,0.0000,1514.2109,0.0000,37855.2733,36341.0624,37855.2733,0.03856040,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,79,1
1,46170,46170,,0,21822,21822,0,420,420,138,2026-03-22,2026-08-06,0.000000,0.000000,3.000000,97.000000,1274897.3374,1147998.0196,38128.3495,0.0000,1143.8505,0.0000,38128.3495,36984.4990,38128.3495,0.02990700,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,80,1
1,7231,7231,,0,62273,62273,0,231,231,137,2026-03-22,2026-08-06,0.000000,0.000000,4.000000,96.000000,1503627.7478,1349622.3296,39839.3452,0.0000,1593.5738,0.0000,39839.3452,38245.7714,39839.3452,0.02649548,0.0000,0.0000,PRODUCTION,AG03-UNRESOLVED,81,1
