uid1,uid2,总同桌局数
101054871,124073014,490
139169953,149076115,490
112711904,123591261,490
22477772,24862477,490
65060864,113211660,490
50125428,142391599,490
137963671,149651647,490
73703589,150014770,490
97049257,116122468,489
113211660,126771516,489
111911675,142020180,489
128494667,145846574,489
142391599,149592717,489
13049252,123483915,489
65213955,141556233,489
114000389,141556233,489
143074379,145846574,489
135715113,146406963,489
24862477,74119380,488
38559714,125862755,488
113211660,129118209,488
137670394,140677633,488
142668385,148541506,488
114881779,137242099,488
132266683,150635380,488
120316504,149592717,488
139169953,151591057,488
125487212,129232606,488
67553792,141556233,487
120249935,137318352,487
135444165,142012746,487
28295477,146517701,487
142020180,147069395,487
114881779,146406963,487
135444165,145302805,486
135715113,137963671,486
81846921,127442828,486
133230085,142020180,485
72216248,147717608,485
81846921,113311676,485
101896696,142020180,485
68360281,137670394,485
7697855,23071490,485
132684686,149651647,485
113354056,141556233,485
111276373,113311676,484
143066478,145870516,484
150304963,150635380,484
31945965,81846921,484
123444860,142020180,483
65060864,101211241,483
142478759,146539785,483
135715113,146417963,483
133831900,134896269,483
122595651,142259192,483
118670037,139045947,482
140287512,146490510,482
113311676,134296707,482
83688268,138069421,481
120316504,140288014,481
125600163,142020180,481
139526270,142279111,481
126404796,129533265,480
116343053,141556233,480
135715113,147309576,480
146517701,151271998,480
152476011,152638777,480
20528051,149021264,479
144390778,145846574,479
6637744,123591261,478
6255961,132763297,478
114881779,144590578,478
38559714,112066335,478
135715113,142391599,478
136663437,150549202,478
123330972,142478759,478
90473758,151155436,478
145819641,150014770,478
124197876,142327375,477
113375267,122640925,477
123591261,142185456,477
120046662,149495470,477
123903499,134357335,477
123591261,142975031,477
123903499,151083264,477
88084997,120249935,477
126558303,141556233,476
84773768,136523211,476
141556233,150070391,476
142020180,151472371,476
63093963,134896269,476
120046662,140445234,475
53512741,120316504,475
142020180,150543394,475
56492475,123483915,474
72216248,148400403,474
113211660,124025749,474
67314953,139169953,474
113375267,141571656,473
118670037,139169953,473
132513825,135843743,473
72216248,145961324,473
123112419,142024819,473
52169523,137014834,473
123903499,146698944,473
122991424,135715113,473
139169953,146539785,473
125452148,148541506,472
34266298,81846921,472
137014834,149955590,472
31160697,139887843,472
123903499,140282788,471
122640657,123903499,471
42633932,144554498,471
77913800,123483915,471
120046662,130385543,470
121386597,135444165,470
118118853,139813870,470
54046314,101506309,470
128989327,142020180,470
87525057,147095398,470
140240315,142020180,470
128021311,140624031,469
72216248,115061913,469
40677431,81846921,469
69369558,120316504,469
38559714,124466716,469
123591261,145506636,469
123903499,145787149,469
121732938,146314916,468
7462908,106195450,468
123483915,148370408,468
101054871,112854433,468
133217305,148541506,468
142020180,149722067,468
101153588,146649963,467
123591261,147908767,467
113988022,142020180,467
142050158,146539785,467
135444165,143810375,467
35273528,123591261,467
114749708,116122468,467
139169953,148637864,467
114219666,118118853,467
135715113,147554637,467
113311676,151676314,467
62134267,142020180,467
80499351,118118853,467
85431285,123483915,466
95007140,132513825,466
99588872,101153588,466
125552398,130054688,466
65347031,142007615,466
133934906,142020180,466
110249610,124403027,465
51234574,137014834,465
142020180,146968881,464
125665720,144590578,464
114645549,142327375,464
134611684,136523211,464
