交易id,会员,投注选项,赔率,投注额,bet33,bet34,bet35,bet36,bet37,bet38,bet39,bet40,bet41
5514842508,153225552,Banker,4.8926,10.92,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,5.0
5514842517,132080498,Even,3.8733,726.21,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,170.0
5514842520,115162892,Player,4.8926,900.45,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,900.0
5514842534,129241759,Player,4.8926,30.05,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,30.0
5514842541,153112003,Banker,1.0000,78.05,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,78.0
5514842555,152928777,Odd,3.8733,5508.18,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,700.0
5514842562,144198762,Odd,3.8733,3800.16,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,500.0
5514842569,146995802,Banker,4.8926,1000.85,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,100.0
5514842576,151604882,Player,1.0000,403.4,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,40.0
5514842583,143038061,Banker,3.8733,5946.27,0.0,0.0,0.0,0.0,0.0,,36.0,3.0,100.0
5514842588,137318340,Odd,3.8733,9858.58,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,200.0
5514842597,152012288,Banker,3.8733,2812.0241,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,300.0
5514842607,63799421,Odd,3.8733,4000.36,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,700.0
5514842613,40677431,Player,3.8733,3503.3,0.0,0.0,0.0,0.0,0.0,,113.0,0.0,2500.0
5514842618,153238678,Odd,3.8733,254.97,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,30.0
5514842624,133510116,Player,3.8733,270.74,0.0,0.0,0.0,0.0,0.0,,115.0,4.0,70.0
5514842630,75686652,R4,3.8733,6717.51,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,100.0
5514842645,121144020,Tiger,0.2129,15.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,5.0
5514842651,153191677,Super6,3.8733,1628.25,0.0,0.0,0.0,0.0,0.0,,909.0,0.0,22.0
5514842666,150598037,Player,0.6011,10743.5,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,20.0
5514842672,129372918,W4,3.8733,905.77,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,20.0
5514842679,153390988,Player,3.8733,1215.51,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,10.0
5514842687,152404003,Player,3.8733,229.98,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,40.0
5514842693,151868468,Super6,0.1472,22.66,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,1.0
5514842698,133295395,Super6,2638.3768,1405500.0,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,60000.0
5514842702,114576405,Banker,4.8926,120.27,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,20.0
5514842709,148076843,Banker,3.8733,7346.39,0.0,0.0,0.0,0.0,0.0,,36.0,3.0,100.0
5514842716,153390988,Player,3.8733,1205.51,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,10.0
5514842721,153392816,Banker,3.8733,581.14,0.0,0.0,0.0,0.0,0.0,,116.0,3.0,0.0
5514842735,70370646,Player,3.8733,505.81,0.0,0.0,0.0,0.0,0.0,,7.0,3.0,100.0
