member_id,Recency,Frequency,Monetary
115302717,5,2188,1290965.0000
147582376,120,478,10502.0000
140481915,73,241,7219.0000
113589798,54,8296,313129.0000
147493425,124,51,8822.0000
147583669,124,57,4710.0000
63006662,0,16498,322514.0000
147623132,117,151,75433.0000
101946675,16,6,134.0000
147689824,124,12,1280.0000
146655044,124,6,2950.0000
136701755,0,133,10850.0000
133670786,20,102,3535.0000
147764713,122,4,120.0000
145498733,121,15,780.0000
38808482,13,1474,2268856.0000
142418630,40,50,2897.0000
147117818,38,88,20355.0000
133966370,68,151,4630.0000
141836067,73,488,16822.0000
147606423,120,67,5244.0000
142443145,113,170,4687.0000
147690343,124,6,907.0000
134167661,44,565,22680.0000
135494848,108,209,23490.0000
147460688,96,42,5874.0000
47651779,13,537,9397.0000
145760912,122,48,6550.0000
116162391,124,3,478.0000
147595663,116,432,24992.0000
147395416,119,29,410.0000
147895394,113,158,6884.0000
147695954,26,324,411613.0000
130048800,0,607,66506.0000
141320201,102,282,271303.0000
49536304,1,321,9713.0000
147896581,119,2,45.0000
147896668,119,4,520.0000
147895823,119,32,1250.0000
146961587,95,389,5743.0000
82211629,0,2485,1624856.0000
124599580,119,15,5351.0000
133311884,74,2025,808678.0000
147465338,9,1483,501929.0000
146778713,110,1987,98557.0000
142048342,2,1599,769283.0000
147897234,3,400,7910.0000
147724939,74,181,6280.0000
147726236,113,174,19370.0000
63214792,0,612,52661.0000
131453269,97,181,7260.0000
114206967,67,463,318208.0000
147727345,123,13,190.0000
125686796,9,1055,123791.0000
133667293,1,28781,846639.0000
146878191,6,2056,265889.0000
27750866,17,4489,456091.0000
107040434,0,979,48686.0000
138992921,39,30,2500.0000
142735432,73,16,651.0000
147846431,120,3,262.0000
141856063,108,432,71013.0000
140707216,97,530,45070.0000
146054929,2,155,5897.0000
127797892,61,154,15989.0000
145681805,0,5559,102008.0000
147846577,120,4,520.0000
131253281,17,1099,447033.0000
92282716,119,621,246040.0000
146955933,28,425,126243.0000
147453024,4,175,14538.0000
74955378,1,3545,63510.0000
147845044,120,12,639.0000
147642854,122,253,2116.0000
128824979,2,1795,1757075.0000
52234950,0,3945,2614354.0000
132261935,33,114,31920.0000
147643713,125,8,400.0000
145535621,109,208,7250.0000
147205049,87,1020,138348.0000
143828600,53,360,381559.0000
142424595,0,780,245776.0000
116014610,5,266,65752.0000
147268024,100,181,45566.0000
147848121,120,5,597.0000
145415496,10,115,22165.0000
120099550,27,386,83965.0000
110078452,17,8145,720664.0000
147748712,103,49,114.0000
147812183,114,51,3690.0000
130901463,6,862,359153.0000
142182465,68,19,12650.0000
97238724,22,915,576983.0000
111372457,79,3609,137236.0000
146149505,16,244,13173.0000
142398713,7,359,14230.0000
144754366,0,377,14574.0000
120407994,0,5058,2472749.0000
147144882,0,2846,6595.0000
147698874,117,435,239253.0000
129518111,63,19,241.0000
122461772,2,13164,875396.0000
147697421,121,11,1150.0000
147812123,120,12,1383.0000
131342268,0,6551,265350.0000
147810829,121,21,720.0000
147774167,83,109,5402.0000
132863687,62,72,21623747.0000
147807171,119,15,881.0000
146689851,2,367,55380.0000
147351644,81,380,24311.0000
147433752,77,123,4890.0000
140560189,1,1086,11192.0000
99334039,1,273,17002.0000
146568660,15,39,3206.0000
13811917,85,533,32752.0000
143077439,110,1142,1171660.0000
102223805,120,26,810.0000
15314066,0,1199,38866.0000
147734068,120,13,2170.0000
100551431,9,966,82827.0000
147813333,120,11,11900.0000
147813326,36,2935,47034.0000
110736872,63,939,298359.0000
147810308,47,3520,131973.0000
146905136,118,50,949.0000
102422916,0,1968,90495.0000
126640120,24,638,342913.0000
140806380,12,1074,760561.0000
93292485,5,337,106329.0000
147809745,120,16,1022.0000
144533010,113,448,78584.0000
142702041,11,1602,274173.0000
144829366,17,960,38381.0000
118625003,53,671,7779.0000
136299312,7,217,17177.0000
148228863,111,8,320.0000
124749817,5,1797,117557.0000
148228213,111,8,1338.0000
122063739,4,3445,141013.0000
124129514,35,226,241261.0000
148141372,106,2235,510036.0000
123077904,111,371,335838.0000
148168923,109,1644,127395.0000
128863245,18,477,85611.0000
147939798,9,2990,229248.0000
148229067,111,8,320.0000
141469287,42,79,24407.0000
73908000,83,5854,4118053.0000
125185684,47,2113,610457.0000
147908189,66,6654,271352.0000
148089546,0,16254,3467914.0000
147936433,107,20,627.0000
140066626,1,1308,383809.0000
125183299,0,1881,1731756.0000
143209416,79,629,14342.0000
83654985,0,846,1956908.0000
148229353,111,4,1040.0000
140437007,110,47,3655.0000
145528618,34,1121,384920.0000
148229626,111,8,190.0000
148229727,111,4,240.0000
148229950,111,1,20.0000
136835463,6,319,42551.0000
146202382,111,30,3572.0000
148230639,111,2,1000.0000
148230719,108,3,1507.0000
135742076,0,36220,1510990.0000
92345857,2,217,71835.0000
144996380,31,415,19358.0000
115102925,120,14,170.0000
147814741,120,10,101.0000
120408578,58,81,820.0000
121338803,108,19,707.0000
146745886,26,699,14187.0000
99346721,112,111,5134.0000
143938341,4,14,1791.0000
143382759,19,1701,12369497.0000
148001362,74,42,2100.0000
147998471,99,24,425.0000
140246050,3,628,17079.0000
98083306,1,546,742794.0000
147720114,73,79,910.0000
67196347,74,53,4118.0000
148178375,91,1557,193274.0000
148200051,0,281,7770.0000
141321300,94,126,31413.0000
148231678,111,4,521.0000
148005995,107,17,1515.0000
142823820,54,2941,459759.0000
146259750,26,3367,5650730.0000
121060920,5,37,3231.0000
67460657,22,169,137810.0000
143334789,100,22,3109.0000
140250845,0,4879,123206.0000
83201625,94,14,660.0000
40911744,51,860,682284.0000
146648153,110,184,12159.0000
143447152,2,5120,175120.0000
