bet05,avg_players,max_players
137163053,257411.41176470587,769572
127081977,208244.64739884392,769572
123779594,244720.50847457626,267852
145826871,769572.0,769572
137861088,412134.39494186745,769572
131507434,384712.31868131866,769572
133962792,519331.8,769572
131599045,448287.06918238994,769572
77333097,314095.3195020747,769572
99218467,488222.36305732484,769572
133769996,233343.0,233343
147668854,245111.14110429448,267852
139657811,264545.4050689195,769572
130519462,769572.0,769572
139976347,405981.1527464259,769572
107803365,163277.31728665208,769572
137518217,315777.13483146066,769572
148101053,217412.6,267852
145388315,201064.06382978722,267852
148094804,413524.8888888889,769572
108672555,260560.7461024499,769572
147499960,299202.0641025641,769572
90174391,446462.4487179487,769572
133423068,404304.3752699784,769572
148099629,228567.89552238805,769572
135230058,185196.0,185196
129561936,205366.2840909091,769572
137955797,483666.14814814815,769572
144943304,174877.6148409894,769572
131849707,170661.79133858267,769572
144914177,217467.27777777778,267852
147959937,769572.0,769572
135641459,173139.04166666666,769572
145499870,206205.84575835476,769572
147952747,185196.0,185196
132793839,184090.1875,267852
79221519,290416.4166666667,769572
127405781,225100.31686046513,769572
115727395,765628.6595059077,769572
146515913,175046.6911764706,769572
127619900,247804.0303030303,769572
142137306,418297.30661364587,769572
146128166,422136.76,769572
114507970,543826.7477477477,769572
67860703,222931.83458646617,769572
122881103,413849.9946236559,769572
130631702,386314.2916666667,769572
147428289,209601.08610567515,769572
145388440,183674.16666666666,267852
146765111,769572.0,769572
64785107,210723.9924127466,769572
147962806,769572.0,769572
147962816,519677.13333333336,769572
109932784,320641.06666666665,769572
118198923,154392.5487804878,769572
137949808,769572.0,769572
143613663,519198.6111111111,769572
130405880,269267.34214390605,769572
147879073,769572.0,769572
147288695,313644.23333333334,769572
145963905,769572.0,769572
145698040,376283.5,769572
144704666,445867.78594771243,769572
133313116,259454.28428093647,769572
136058929,267852.0,267852
91652618,670038.1463414634,769572
147879638,769572.0,769572
135564053,174353.45806451613,769572
134849532,294723.0669975186,769572
13518846,163814.69474562135,769572
147913924,126616.85714285714,134148
147966335,769572.0,769572
133963680,244595.0257595773,769572
146203903,189630.13023255815,769572
121808738,230639.37069689337,769572
147635281,246435.5,769572
147967267,769572.0,769572
147967317,205927.1326530612,769572
132666097,327999.27699530515,769572
146110189,260965.97529069768,769572
144401667,769572.0,769572
145309681,258329.84615384616,267852
147831005,769572.0,769572
87528576,227620.99655172415,769572
147729624,241733.14915254238,769572
142095807,428112.0448247759,769572
139391628,769572.0,769572
147832037,246986.25974025973,769572
147831940,245022.75,769572
