uid,bet01_笔数,bet01_投注额,daily_笔数_跨产品汇总,daily_金额_跨产品汇总,当天涉及产品数,笔数倍差_修正后
151902637,16,4490.280000000001,125,15132.0000,1,7.81
152900495,67,70723.14,523,63868.0000,1,7.81
143485413,5,401.95,39,450.0000,1,7.8
143030351,5,692.9000000000001,39,5123.0000,1,7.8
129672820,9,1956.7900000000002,70,5115.0000,1,7.78
106003703,4,3940.0,31,18302.0000,1,7.75
127931098,8,321.41999999999996,62,887.0000,1,7.75
145310940,4,3164.96,31,2620.0000,1,7.75
140242757,4,201.44,31,1570.0000,1,7.75
150624561,6,23104.1268,46,239625.0000,1,7.67
112003695,3,1358.6100000000001,23,9497.0000,1,7.67
150741003,9,437.15,69,1010.0000,1,7.67
151505932,6,131856.04,46,2613020.0000,1,7.67
137852852,3,673.5999999999999,23,2471.0000,1,7.67
149099085,6,1142.4,45,9588.0000,1,7.5
131983760,2,181.78,15,385.0000,2,7.5
108544750,29,6102.599999999999,217,26642.0000,1,7.48
138993771,16,8694.08,119,11540.0000,1,7.44
152619922,5,333.4195,37,992.0000,1,7.4
143508018,53,350.89,392,668.0000,1,7.4
113473465,13,93.53,96,156.0000,1,7.38
132839120,8,19377.2,59,18905.0000,1,7.38
152329892,6,5005.77,44,19427.0000,1,7.33
99845038,30,43450.26700000001,220,20912.0000,1,7.33
148487976,12,59078.56,87,32250.0000,1,7.25
147579985,4,840.5999999999999,29,13438.0000,1,7.25
131348717,4,392.82,29,1060.0000,1,7.25
124147516,4,1790.8000000000002,29,6229.0000,1,7.25
143324749,17,30516.0,123,30219.0000,1,7.24
112702171,6,970.0,43,4044.0000,1,7.17
153110192,6,5603.6,43,1501.0000,1,7.17
147504725,8,379.51,57,604.0000,1,7.13
116602178,10,16185.8,71,36286.0000,1,7.1
143314074,8,8329.35,56,53549.0000,1,7.0
148456742,1,11.73,7,853.0000,1,7.0
99308202,1,11.68,7,3500.0000,1,7.0
139565372,4,40.0,28,1810.0000,1,7.0
137492642,1,17.67,7,303.0000,1,7.0
125551952,1,476.818,7,90.0000,1,7.0
144564071,1,1175.24,7,165.0000,1,7.0
131611073,1,118.62,7,660.0000,2,7.0
17626573,1,200.2,7,1946.0000,1,7.0
128697604,1,24.57,7,119.0000,1,7.0
109146832,1,65.2,7,1955.0000,1,7.0
115344025,1,23.0,7,2902.0000,1,7.0
139090664,1,180.49,7,715.0000,1,7.0
150115699,11,689.45,77,2762.0000,1,7.0
142390173,1,18.78,7,208.0000,1,7.0
71893687,11,8441.98,77,7748.0000,1,7.0
143797612,2,147500.0,14,1237160.0000,1,7.0
147450874,1,24.47,7,321.0000,1,7.0
126436964,1,33.13,7,684.0000,1,7.0
112531021,1,51.7,7,401.0000,1,7.0
