__source_pk,dt,bet01,op,optime,source_db,source_table,ods_table_name,sync_time
2966083165|249|2022-09-22 15:17:59,2022-09-22,2966083165,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966087060|249|2022-09-22 15:17:59,2022-09-22,2966087060,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966113816|249|2022-09-22 15:17:59,2022-09-22,2966113816,249,2022-09-22 15:17:59,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966154897|249|2022-09-22 15:26:16,2022-09-22,2966154897,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966170123|249|2022-09-22 15:26:16,2022-09-22,2966170123,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966174751|249|2022-09-22 15:26:16,2022-09-22,2966174751,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966176436|249|2022-09-22 15:26:16,2022-09-22,2966176436,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966201734|249|2022-09-22 15:26:16,2022-09-22,2966201734,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966203709|249|2022-09-22 15:26:16,2022-09-22,2966203709,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966207566|249|2022-09-22 15:26:16,2022-09-22,2966207566,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966213885|249|2022-09-22 15:26:16,2022-09-22,2966213885,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966228706|249|2022-09-22 15:26:16,2022-09-22,2966228706,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966231204|249|2022-09-22 15:26:16,2022-09-22,2966231204,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966247025|249|2022-09-22 15:26:16,2022-09-22,2966247025,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966298287|249|2022-09-22 15:26:16,2022-09-22,2966298287,249,2022-09-22 15:26:16,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966334959|249|2022-09-22 15:19:04,2022-09-22,2966334959,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966344650|249|2022-09-22 15:19:04,2022-09-22,2966344650,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966346892|249|2022-09-22 15:19:04,2022-09-22,2966346892,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966365492|249|2022-09-22 15:19:04,2022-09-22,2966365492,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966370095|249|2022-09-22 15:19:04,2022-09-22,2966370095,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966371946|249|2022-09-22 15:19:04,2022-09-22,2966371946,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966377340|249|2022-09-22 15:19:04,2022-09-22,2966377340,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966381102|249|2022-09-22 15:19:04,2022-09-22,2966381102,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966394668|249|2022-09-22 15:19:04,2022-09-22,2966394668,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966396458|249|2022-09-22 15:19:04,2022-09-22,2966396458,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966399182|249|2022-09-22 15:19:04,2022-09-22,2966399182,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966400774|249|2022-09-22 15:19:04,2022-09-22,2966400774,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966415611|249|2022-09-22 15:19:04,2022-09-22,2966415611,249,2022-09-22 15:19:04,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966509443|259|2022-09-22 15:18:03,2022-09-22,2966509443,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966510986|259|2022-09-22 15:18:03,2022-09-22,2966510986,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966521303|259|2022-09-22 15:18:03,2022-09-22,2966521303,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966551441|259|2022-09-22 15:18:03,2022-09-22,2966551441,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966555875|259|2022-09-22 15:18:03,2022-09-22,2966555875,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966586414|259|2022-09-22 15:18:03,2022-09-22,2966586414,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966602533|259|2022-09-22 15:18:03,2022-09-22,2966602533,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966613648|259|2022-09-22 15:18:03,2022-09-22,2966613648,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966650747|259|2022-09-22 15:18:03,2022-09-22,2966650747,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966664059|259|2022-09-22 15:18:03,2022-09-22,2966664059,259,2022-09-22 15:18:03,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966667875|259|2022-09-22 15:21:15,2022-09-22,2966667875,259,2022-09-22 15:21:15,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966696816|259|2022-09-22 15:21:15,2022-09-22,2966696816,259,2022-09-22 15:21:15,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966699638|259|2022-09-22 15:21:15,2022-09-22,2966699638,259,2022-09-22 15:21:15,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966703366|259|2022-09-22 15:21:15,2022-09-22,2966703366,259,2022-09-22 15:21:15,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
2966719357|259|2022-09-22 15:21:15,2022-09-22,2966719357,259,2022-09-22 15:21:15,a168,risklist,ods_a168_risklist,2026-07-23 14:03:16
