bet_ip,n_member,n_lv3_chain,member_per_chain,n_orders,stake,game_pnl,net_pnl
42.113.201.245,21,9,2.3333333,208,9933.1325167202,-1647.2719535965,-1647.2719535965
171.242.199.18,21,9,2.3333333,427,24738.9185976254,-333.4340488013,-333.4340488013
113.185.73.176,21,9,2.3333333,453,39413.5656012890,3282.4209703116,3477.6493275038
113.185.46.123,21,9,2.3333333,183,15070.7091481364,-2970.1548111599,-2970.1548111599
113.185.47.43,21,9,2.3333333,574,17484.7468724980,-730.2641903789,-730.2641903789
113.185.47.65,21,9,2.3333333,951,69621.6159847358,7302.6270108285,7302.6270108285
113.185.79.50,21,9,2.3333333,314,10529.2356473242,-407.4264998662,-407.4264998662
113.185.47.215,21,9,2.3333333,147,5348.5159206328,743.9258652152,743.9258652152
113.185.46.208,21,9,2.3333333,887,37654.2115949564,-1373.6805044470,-1373.6805044470
59.153.225.211,21,9,2.3333333,938,101489.0216002457,-6242.1713966436,-6242.1713966436
49.237.43.138,21,9,2.3333333,913,13607.4813319503,2047.9818461896,2056.1956235267
113.185.79.147,21,9,2.3333333,197,6412.2502540082,-604.2868602977,-602.5221177600
103.199.70.192,21,9,2.3333333,362,10499.6051276889,-293.5217367179,-293.5217367179
113.185.41.146,21,9,2.3333333,1047,68695.8420289708,-1871.0135300346,-1871.0135300346
104.28.163.17,28,12,2.3333333,283,23127.7916578376,887.2750323040,975.7084131740
49.230.53.22,21,9,2.3333333,910,89855.4841567330,-10757.5298643696,-10757.5298643696
113.185.42.90,21,9,2.3333333,416,29986.9460668706,1352.9149718433,1352.9149718433
113.185.81.69,21,9,2.3333333,780,58372.9872784536,7913.4446323295,7913.4446323295
49.237.23.121,21,9,2.3333333,335,12944.9245234507,-1382.4910784212,-1382.4910784212
113.185.72.147,21,9,2.3333333,379,20094.1432253556,187.2275615827,187.2275615827
113.185.78.124,21,9,2.3333333,468,31370.2820344387,1673.0686815824,1673.0686815824
113.185.74.247,21,9,2.3333333,347,21389.6473933385,-3575.3355677385,-3575.3355677385
113.185.72.95,21,9,2.3333333,438,17766.2737329823,-5042.0074058207,-5042.0074058207
113.185.76.72,21,9,2.3333333,131,10370.4045645096,-1080.3903679172,-1080.3903679172
42.113.201.4,21,9,2.3333333,370,8355.9216963575,-557.3940689911,-557.3940689911
42.113.248.195,21,9,2.3333333,358,14279.0828400904,-649.5358799369,-649.5358799369
113.185.83.120,21,9,2.3333333,336,18723.8136310180,-354.1708633017,-354.1708633017
113.185.83.145,21,9,2.3333333,2045,62120.4971159689,-918.2124274454,-918.2124274454
103.199.68.181,21,9,2.3333333,317,15218.6382602804,600.3740303686,600.3740303686
113.185.42.50,21,9,2.3333333,283,40835.4796378767,-7800.5131743453,-7800.5131743453
103.199.71.156,21,9,2.3333333,268,11264.2439015415,1695.5170843512,1695.5170843512
42.113.203.222,21,9,2.3333333,610,13283.7806379915,-207.3335678749,-207.3335678749
113.185.72.66,21,9,2.3333333,283,26588.1821505841,9809.6050775805,9809.6050775805
171.253.139.192,21,9,2.3333333,301,10135.6623325429,1597.5489706875,1597.5489706875
103.199.70.97,21,9,2.3333333,327,10676.3045648959,647.5456714442,647.5456714442
113.185.80.2,21,9,2.3333333,635,28234.4034750683,-2309.3257854699,-2309.3257854699
113.185.73.225,21,9,2.3333333,598,21448.3330828791,-1358.8920443695,-1358.8920443695
103.199.43.187,21,9,2.3333333,346,24052.7623425677,-4910.9129332208,-4910.9129332208
103.199.41.13,21,9,2.3333333,556,391426.1366038628,22209.8203334100,22209.8203334100
125.235.172.196,21,9,2.3333333,205,15549.3016346627,-347.7025089009,-347.7025089009
113.185.74.69,21,9,2.3333333,175,14675.7940410069,-309.6919497101,-309.6919497101
113.185.79.2,21,9,2.3333333,473,40307.5387710263,1923.0667304814,1923.0667304814
113.185.85.54,21,9,2.3333333,297,21586.9162616866,3874.9618465371,3874.9618465371
42.113.248.67,28,12,2.3333333,480,25207.7342853271,-2156.0087141213,-2156.0087141213
49.230.146.129,21,9,2.3333333,840,36132.9439024171,1799.1787172871,1799.3264195065
113.185.79.86,21,9,2.3333333,846,71252.9663272462,-927.3268742534,-927.2701575220
113.185.45.48,21,9,2.3333333,283,14169.6328649585,2153.1685840654,2153.1685840654
113.185.41.119,21,9,2.3333333,295,37605.4548633777,-3552.4182544306,-3552.4182544306
113.185.74.61,21,9,2.3333333,415,18893.9145936079,-2232.9151161113,-2232.9151161113
113.185.76.10,21,9,2.3333333,347,17861.7176881600,-1998.5427069101,-1998.5427069101
113.185.44.47,21,9,2.3333333,204,27544.6502051593,-3541.2165674944,-3541.2165674944
49.49.225.197,35,15,2.3333333,1552,50015.8385745242,-1746.2411488010,-1667.9123254923
171.253.249.176,21,9,2.3333333,296,23229.4354191505,1394.9369799240,1394.9369799240
113.185.46.56,21,9,2.3333333,338,56298.4670803948,9741.2777247430,9741.2777247430
103.199.43.228,21,9,2.3333333,1901,96213.1536390374,-424.2299655935,-424.2299655935
113.185.46.14,21,9,2.3333333,495,24653.0181855254,532.5606024910,532.5606024910
103.199.41.220,21,9,2.3333333,121,4075.8114666395,-502.5915769990,-502.5915769990
113.185.84.154,21,9,2.3333333,372,23930.6905348338,-1455.5997591528,-1454.4949256359
122.11.246.157,21,9,2.3333333,1392,154965.5538052718,-6883.0792710662,-6324.1329933201
113.185.73.16,21,9,2.3333333,209,33206.3674133180,-3816.4647880418,-3816.4647880418
113.185.75.96,21,9,2.3333333,401,23236.1693285843,-1848.3791962855,-1845.7616093735
42.113.201.209,21,9,2.3333333,441,13096.6645667554,-1295.1257648457,-1295.1257648457
42.113.203.162,21,9,2.3333333,158,7458.4511790434,-2045.6635442873,-2045.6635442873
49.230.146.39,21,9,2.3333333,945,79985.6590843791,9990.4303001444,9999.5378834723
113.185.47.162,21,9,2.3333333,378,33724.9372987944,-1615.8030447065,-1615.8030447065
113.185.73.133,21,9,2.3333333,606,21993.1223725603,2446.0416351653,2446.0416351653
103.199.70.144,21,9,2.3333333,437,44145.7545132973,-1966.4003788171,-1966.4003788171
113.185.82.121,21,9,2.3333333,194,10638.1154581560,142.3738484753,142.3738484753
103.199.42.246,21,9,2.3333333,758,31510.1862523862,-799.8678399278,-799.8678399278
117.20.154.120,37,16,2.3125000,1952,1140581.6276510066,144212.8942039182,144978.7933718209
117.20.154.127,30,13,2.3076923,2729,421168.6304650743,-5240.9814891167,-2595.9757128828
49.49.225.181,30,13,2.3076923,1265,23049.6478398053,2093.5887528378,2093.5887528378
113.185.85.31,23,10,2.3000000,329,11710.0013078899,-844.7767240103,-844.7767240103
113.185.41.253,23,10,2.3000000,566,83104.4891046581,-4987.5198290832,-4987.5198290832
49.230.146.176,23,10,2.3000000,1054,22199.8494309772,915.9985748526,917.2740711240
113.185.77.233,23,10,2.3000000,215,22791.3084632734,4371.5862389728,4371.5862389728
113.185.76.179,23,10,2.3000000,395,48053.2900292459,-6178.0306826570,-6041.9867631765
113.185.42.150,23,10,2.3000000,280,26188.3282961081,-2395.5223218222,-2395.5223218222
113.185.76.150,23,10,2.3000000,201,13478.2777252111,3126.0666540280,3142.1539069253
